field,x,y,farmer,year,prev_year,yld,prev_yld,aa_n,prev_aa_n,aspect_rad,slope,elev,tpi,prec_cy,prec_py,gdd_cy,gdd_py,veg_cy,veg_py,veg_2py
carlinwest,485600.334989569,5311630.07800578,wood,2017,2015,46.68,59.58,55.7,,4.08405,0,997.184,0.463209,76,308,238.5,2082,,,
carlinwest,485600.334989569,5311670.07800578,wood,2017,2015,45.7,58.54,80.15,,2.91462,0,997.278,0.474217,76,308,238.5,2082,,,
carlinwest,485600.334989569,5311640.07800578,wood,2017,2015,51.15,59.84,82.34,,3.90375,0,997.204,0.461134,76,308,238.5,2082,,,
carlinwest,485600.334989569,5311650.07800578,wood,2017,2015,50.7,62,82.34,,3.71631,0,997.212,0.443945,76,308,238.5,2082,,,
carlinwest,485560.334989569,5311710.07800578,wood,2017,2015,32.22,37.51,33.56,,1.34469,1,997.628,0.477772,76.5956,310.085,236.788,2078.65,,,
carlinwest,485580.334989569,5311680.07800578,wood,2017,2015,34.67,,81.65,,1.64789,1,997.448,0.514467,76,308,238.5,2082,,,
carlinwest,485580.334989569,5311700.07800578,wood,2017,2015,6.84,,86.42,,1.55024,1,997.461,0.519006,76,308,238.5,2082,,,
carlinwest,485480.334989569,5311400.07800578,wood,2017,2015,9.58,73.03,96.29,,2.01213,0,994.399,0.5076,76,308,238.5,2082,,,
carlinwest,485500.334989569,5311410.07800578,wood,2017,2015,41.42,77.12,45.44,,4.22251,0.839659,994.462,0.474306,76,308,238.5,2082,,,
carlinwest,485490.334989569,5311420.07800578,wood,2017,2015,22.23,67.4,42.66,,4.22944,0.768534,994.445,0.474442,76,308,238.5,2082,,,
carlinwest,485650.334989569,5311550.07800578,wood,2017,2015,39.02,77.46,150.6,,3.71323,0.23063,997.075,0.449155,76,308,238.5,2082,,,
carlinwest,485620.334989569,5311530.07800578,wood,2017,2015,52.32,71.42,42.15,,2.4566,1,997.194,0.541989,76,308,238.5,2082,,,
carlinwest,485630.334989569,5311540.07800578,wood,2017,2015,50.96,62.69,44.64,,1.99524,1,997.12,0.499877,76,308,238.5,2082,,,
carlinwest,485620.334989569,5311540.07800578,wood,2017,2015,53.44,66.98,44.64,,2.2144,1,997.314,0.556119,76,308,238.5,2082,,,
carlinwest,485630.334989569,5311500.07800578,wood,2017,2015,49.62,72.14,99.22,,3.18526,1,996.709,0.519244,76,308,238.5,2082,,,
carlinwest,485470.334989569,5311420.07800578,wood,2017,2015,36.7,79.35,96.29,,2.132,0,994.391,0.493349,76,308,238.5,2082,,,
carlinwest,485470.334989569,5311430.07800578,wood,2017,2015,37.62,80.75,69.47,,4.74692,0,994.39,0.483621,76,308,238.5,2082,,,
carlinwest,485470.334989569,5311440.07800578,wood,2017,2015,44.64,64.9,69.47,,4.35,0,994.391,0.468683,76,308,238.5,2082,,,
carlinwest,485470.334989569,5311400.07800578,wood,2017,2015,36.11,70.46,96.29,,3.23877,0,994.397,0.511026,76,308,238.5,2082,,,
