field,x,y,farmer,year,prev_year,yld,prev_yld,aa_n,prev_aa_n,aspect_rad,slope,elev,tpi,prec_cy,prec_py,gdd_cy,gdd_py,veg_cy,veg_py,veg_2py
sec35mid,639175.883313345,5101620.12963972,broyles,2016,2014,36.14,38.09,0,,2.32844,2.94298,1288.71,0.875979,71,452,508.25,1761.25,0.188515,0.526053,0.261206
sec35mid,639195.883313345,5101440.12963972,broyles,2016,2014,54.2,55.51,64.85,,2.8922,3,1278.92,0.502162,71,452,508.25,1761.25,0.198023,0.691588,0.299203
sec35mid,639185.883313345,5101560.12963972,broyles,2016,2014,40.7,,0,,2.5308,3.46393,1285.46,0.461477,71,452,508.25,1761.25,0.211248,0.646156,0.258084
sec35mid,639185.883313345,5101550.12963972,broyles,2016,2014,41.25,,0,,2.46256,3.03993,1285.04,0.548245,71,452,508.25,1761.25,0.209867,0.675146,0.311767
sec35mid,639155.883313345,5101630.12963972,broyles,2016,2014,41.35,52.55,0,,2.50866,3.72754,1289.84,0.650282,71,452,508.25,1761.25,0.191095,0.575022,0.230411
sec35mid,639165.883313345,5101630.12963972,broyles,2016,2014,37.98,48.14,0,,2.11555,3.15239,1289.57,0.798327,71,452,508.25,1761.25,0.188515,0.526053,0.261206
sec35mid,639185.883313345,5101620.12963972,broyles,2016,2014,28.77,37.61,0,,2.12626,3.03894,1288.45,0.981626,71,452,508.25,1761.25,0.188406,0.524237,0.262285
sec35mid,639095.883313345,5101420.12963972,broyles,2016,2014,60.93,59.54,107.56,,2.63393,3,1280.17,0.602675,71,452,508.25,1761.25,0.181806,0.670784,0.209942
sec35mid,639115.883313345,5101450.12963972,broyles,2016,2014,55.05,63.12,107.56,,2.47236,2.93976,1280.76,0.507705,71,452,508.25,1761.25,0.18245,0.690318,0.211314
sec35mid,639095.883313345,5101410.12963972,broyles,2016,2014,60.21,59.77,107.56,,2.75455,3,1279.74,0.637406,71,452,508.25,1761.25,0.181806,0.670784,0.209942
sec35mid,639045.883313345,5101480.12963972,broyles,2016,2014,44.66,,0,,4.22976,3.05927,1282.52,0.72485,71,452,508.25,1761.25,0.174119,0.677645,0.188327
sec35mid,639095.883313345,5101460.12963972,broyles,2016,2014,56.72,56.62,107.56,,2.45667,2.63149,1281.73,0.606559,71,452,508.25,1761.25,0.181238,0.675117,0.214139
sec35mid,639085.883313345,5101500.12963972,broyles,2016,2014,63.86,71.93,46.18,,3.02428,3,1283.29,0.404299,71,452,508.25,1761.25,0.183805,0.695175,0.234717
sec35mid,639175.883313345,5101610.12963972,broyles,2016,2014,32.79,46.24,0,,2.74152,3.90366,1288.2,0.617786,71,452,508.25,1761.25,0.201805,0.564848,0.242962
sec35mid,639035.883313345,5101610.12963972,broyles,2016,2014,47.37,58.3,0,,3.97943,3.62679,1287.99,0.688841,71,452,508.25,1761.25,0.167044,0.64862,0.240377
sec35mid,639055.883313345,5101680.12963972,broyles,2016,2014,34.2,38.88,0,,3.92431,4.62673,1291.79,0.396598,71,452,508.25,1761.25,0.182867,0.604594,0.243369
sec35mid,639035.883313345,5101580.12963972,broyles,2016,2014,54.38,51.35,0,,3.80225,6.01944,1286.7,1.03868,71,452,508.25,1761.25,0.182813,0.663494,0.224251
sec35mid,639035.883313345,5101650.12963972,broyles,2016,2014,40.39,51.27,0,,4.39788,5,1289.1,0.580791,71,452,508.25,1761.25,0.176819,0.565358,0.273283
sec35mid,639355.883313345,5100580.12963972,broyles,2016,2014,37.1,,0,,3.81562,1,1251.16,0.52782,71,441,527,1793.5,0.156877,0.525716,0.224858
sec35mid,639065.883313345,5101590.12963972,broyles,2016,2014,56.86,,46.18,,3.22987,4,1287.9,0.700009,71,452,508.25,1761.25,0.184671,0.784376,0.179068
sec35mid,639055.883313345,5101530.12963972,broyles,2016,2014,54.07,,46.18,,4.11318,4,1283.77,0.357894,71,452,508.25,1761.25,0.174611,0.759867,0.191233
sec35mid,639065.883313345,5101530.12963972,broyles,2016,2014,57.32,71.4,46.18,,3.91389,3,1284.5,0.549498,71,452,508.25,1761.25,0.174611,0.759867,0.191233
sec35mid,639045.883313345,5101610.12963972,broyles,2016,2014,54.5,60.42,0,,3.74646,3.05659,1288.28,0.639796,71,452,508.25,1761.25,0.167044,0.64862,0.240377
sec35mid,639045.883313345,5101620.12963972,broyles,2016,2014,54.15,50.03,0,,4.03233,3.53097,1288.7,0.713605,71,452,508.25,1761.25,0.172079,0.64625,0.272184
sec35mid,639045.883313345,5101570.12963972,broyles,2016,2014,65.85,83.51,0,,3.61799,5.48961,1286.2,0.777504,71,452,508.25,1761.25,0.182813,0.663494,0.224251
sec35mid,639125.883313345,5101660.12963972,broyles,2016,2014,36.07,36,0,,2.8135,3.35248,1293.28,0.996844,71,452,508.25,1761.25,0.172768,0.599066,0.207508
sec35mid,639105.883313345,5101680.12963972,broyles,2016,2014,46.46,58.96,0,,3.80277,2.96156,1293.9,0.6591,71,452,508.25,1761.25,0.166267,0.579903,0.237305
sec35mid,639115.883313345,5101680.12963972,broyles,2016,2014,76.12,79.05,0,,3.51379,2.53539,1294.09,0.827879,71,452,508.25,1761.25,0.164327,0.532041,0.278272
sec35mid,639115.883313345,5101670.12963972,broyles,2016,2014,44.06,60.66,0,,3.61903,2.96144,1293.72,0.808405,71,452,508.25,1761.25,0.172768,0.599066,0.207508
sec35mid,639095.883313345,5101690.12963972,broyles,2016,2014,40.41,,0,,3.8488,3.62818,1293.84,0.410187,71,452,508.25,1761.25,0.166267,0.579903,0.237305
sec35mid,639155.883313345,5101410.12963972,broyles,2016,2014,44.81,43.73,30.38,,2.66789,3,1278.35,0.520828,71,452,508.25,1761.25,0.184631,0.693025,0.213955
sec35mid,639155.883313345,5101420.12963972,broyles,2016,2014,44.28,41.89,30.38,,2.73522,3,1278.78,0.511485,71,452,508.25,1761.25,0.184631,0.693025,0.213955
sec35mid,639155.883313345,5101430.12963972,broyles,2016,2014,40.15,40.93,30.38,,2.7217,2.89734,1279.24,0.546306,71,452,508.25,1761.25,0.184631,0.693025,0.213955
sec35mid,639125.883313345,5101600.12963972,broyles,2016,2014,26.44,,43.76,,2.89925,3.03949,1288.75,0.436647,71,452,508.25,1761.25,0.18388,0.5617,0.229621
sec35mid,639115.883313345,5101580.12963972,broyles,2016,2014,25.6,26.91,45.54,,3.64047,3,1288.21,0.758004,71,452,508.25,1761.25,0.183359,0.529494,0.225159
sec35mid,639105.883313345,5101570.12963972,broyles,2016,2014,24.14,23.77,45.54,,3.7663,3,1287.46,0.544159,71,452,508.25,1761.25,0.183439,0.531907,0.224889
sec35mid,639085.883313345,5101600.12963972,broyles,2016,2014,40.25,40.27,46.18,,3.32399,4,1288.23,0.250585,71,452,508.25,1761.25,0.187326,0.621662,0.190492
sec35mid,639115.883313345,5101540.12963972,broyles,2016,2014,35.54,,45.54,,3.24196,3.94162,1286.04,0.676419,71,452,508.25,1761.25,0.180653,0.559693,0.193442
sec35mid,639175.883313345,5101410.12963972,broyles,2016,2014,50.34,56.15,30.38,,2.66687,3,1277.89,0.522395,71,452,508.25,1761.25,0.188142,0.721201,0.266682
sec35mid,639195.883313345,5101430.12963972,broyles,2016,2014,54.04,52.38,64.85,,2.76787,3,1278.37,0.468218,71,452,508.25,1761.25,0.18827,0.722282,0.268644
sec35mid,639165.883313345,5101420.12963972,broyles,2016,2014,41.82,,30.38,,2.70206,3,1278.49,0.504425,71,452,508.25,1761.25,0.188142,0.721201,0.266682
sec35mid,639185.883313345,5101430.12963972,broyles,2016,2014,57.47,61.19,64.85,,2.74345,3,1278.51,0.482449,71,452,508.25,1761.25,0.18827,0.722282,0.268644
sec35mid,639185.883313345,5101420.12963972,broyles,2016,2014,62.03,62.2,64.85,,2.69848,3,1278.03,0.487417,71,452,508.25,1761.25,0.18827,0.722282,0.268644
sec35mid,639185.883313345,5101410.12963972,broyles,2016,2014,63.28,59.9,64.85,,2.67628,3,1277.54,0.495579,71,452,508.25,1761.25,0.18827,0.722282,0.268644
sec35mid,639075.883313345,5101650.12963972,broyles,2016,2014,59.9,84.06,46.11,,3.89642,4,1291.27,0.678595,71,452,508.25,1761.25,0.174853,0.707885,0.18334
