field,x,y,farmer,year,prev_year,yld,prev_yld,aa_n,prev_aa_n,aspect_rad,slope,elev,tpi,prec_cy,prec_py,gdd_cy,gdd_py,veg_cy,veg_py,veg_2py
sre1314,445417.792861876,5257725.1143033,merja,2018,2016,42.58,,27.24,27.15,5.44999,1,1110.99,0.501099,125,403,82.75,1424.5,0.134845,0.673867,0.295209
sre1314,445607.792861876,5257795.1143033,merja,2018,2016,35.33,58.4,32.16,25,5.27027,1,1112.2,0.50121,125,403,82.75,1424.5,0.119204,0.768851,0.279682
sre1314,445687.792861876,5257165.1143033,merja,2018,2016,51.29,45.45,27.73,25.79,4.85408,0,1114.14,0.502736,125,403,82.75,1424.5,0.122607,0.665915,0.498928
sre1314,445607.792861876,5256225.1143033,merja,2018,2016,34.73,,32.28,24,2.74787,1,1113.43,0.506497,125,404,83.25,1425.75,0.109972,0.654427,0.429965
sre1314,445747.792861876,5258265.1143033,merja,2018,2016,64.26,47.13,37.33,25,3.98964,1,1115.54,0.556119,125,405,80.5,1412.75,0.134239,0.666831,0.254883
sre1314,445567.792861876,5258295.1143033,merja,2018,2016,61.49,,32.09,26,3.7709,2,1112.65,0.461726,124,402,82,1427.25,0.122745,0.6569,0.273346
sre1314,445477.792861876,5257375.1143033,merja,2018,2016,48.91,65.14,22.1,26,4.89877,1,1111.94,0.526555,125,403,82.75,1424.5,0.113527,0.779473,0.343252
sre1314,445547.792861876,5256725.1143033,merja,2018,2016,49.01,,31.82,30,0.803236,1,1116.21,0.534353,125,404,83.25,1425.75,0.111374,0.72786,0.436578
sre1314,445517.792861876,5256325.1143033,merja,2018,2016,37.6,46.18,38.25,23,2.75466,1,1115.41,0.513432,125,404,83.25,1425.75,0.148104,0.674104,0.505686
sre1314,445487.792861876,5256615.1143033,merja,2018,2016,38.2,44.17,50.33,25,1.5362,0,1116.85,0.508437,125,404,83.25,1425.75,0.12332,0.646519,0.412826
sre1314,445537.792861876,5256975.1143033,merja,2018,2016,62.18,56.18,24.85,25,0.132001,0,1113.9,0.49886,125,403,82.75,1424.5,0.112969,0.752561,0.493333
sre1314,445427.792861876,5256825.1143033,merja,2018,2016,45.08,,51.65,37.67,0.366014,1,1116.02,0.507241,125,404,83.25,1425.75,0.108794,0.638975,0.375473
sre1314,445567.792861876,5258285.1143033,merja,2018,2016,75.06,,31.92,28,3.78956,2,1112.39,0.415097,124,402,82,1427.25,0.123612,0.664732,0.273346
sre1314,445507.792861876,5257285.1143033,merja,2018,2016,45.3,61.9,17.71,25,4.91386,0.883927,1112.34,0.50369,125,403,82.75,1424.5,0.11824,0.756967,0.448643
sre1314,445457.792861876,5256825.1143033,merja,2018,2016,37.51,31.83,20.69,21,0.552374,1,1115.88,0.516941,125,404,83.25,1425.75,0.0972125,0.622055,0.37036
sre1314,445647.792861876,5257635.1143033,merja,2018,2016,31.27,57.92,25.53,23,4.90066,1,1113.58,0.500287,125,403,82.75,1424.5,0.14501,0.751626,0.270901
sre1314,445607.792861876,5256465.1143033,merja,2018,2016,41.55,39.54,29.79,22,1.96014,1,1115.94,0.515521,125,404,83.25,1425.75,0.119918,0.698585,0.428965
sre1314,445467.792861876,5258115.1143033,merja,2018,2016,40.84,,0,23,4.85502,1,1109.28,0.490527,124,402,82,1427.25,0.136359,0.697053,0.267115
sre1314,445567.792861876,5256325.1143033,merja,2018,2016,39.35,50.62,38.02,23,2.78108,1,1115.14,0.504846,125,404,83.25,1425.75,0.122819,0.655227,0.462806
sre1314,445667.792861876,5257145.1143033,merja,2018,2016,21.27,,32.31,26,4.86686,0,1113.98,0.496931,125,403,82.75,1424.5,0.127267,0.630697,0.473555
sre1314,445697.792861876,5256485.1143033,merja,2018,2016,37.5,,32.76,28,2.11984,1,1115.12,0.485577,125,404,83.25,1425.75,0.114758,0.665857,0.411723
sre1314,445577.792861876,5258005.1143033,merja,2018,2016,85.94,68.94,27.26,26,4.57919,1,1110.58,0.505972,124,402,82,1427.25,0.137015,0.765654,0.279409
sre1314,445427.792861876,5257055.1143033,merja,2018,2016,41.51,,19.05,26,5.80452,1,1112.94,0.492806,125,403,82.75,1424.5,0.125239,0.687038,0.467096
sre1314,445457.792861876,5257755.1143033,merja,2018,2016,84.04,,0,23.25,5.08034,1,1111.17,0.492848,125,403,82.75,1424.5,0.125651,0.69287,0.315412
sre1314,445447.792861876,5258065.1143033,merja,2018,2016,47.32,48.48,50.6,27,4.96754,0.264923,1109.17,0.492911,124,402,82,1427.25,0.124843,0.629291,0.263476
sre1314,445487.792861876,5257895.1143033,merja,2018,2016,66.29,57.18,38.95,21,5.66057,1,1110.4,0.503042,125,403,82.75,1424.5,0.117504,0.751844,0.295928
sre1314,445557.792861876,5257755.1143033,merja,2018,2016,81.86,72.23,25.55,18,5.25021,1,1112.04,0.5047,125,403,82.75,1424.5,0.115312,0.779379,0.282705
sre1314,445557.792861876,5257855.1143033,merja,2018,2016,78.48,67.34,31.08,24,5.52376,1,1111.29,0.505304,125,403,82.75,1424.5,0.124971,0.765957,0.299613
sre1314,445437.792861876,5256685.1143033,merja,2018,2016,40.26,40.52,0,0,0.767721,0,1116.89,0.496391,125,404,83.25,1425.75,0.114276,0.632725,0.410889
sre1314,445687.792861876,5256845.1143033,merja,2018,2016,51.85,28.12,32.91,25,5.99303,0,1114.3,0.492405,125,404,83.25,1425.75,0.110869,0.652243,0.481082
sre1314,445647.792861876,5256715.1143033,merja,2018,2016,47.07,58.93,0,26,0.852992,1,1115.25,0.496883,125,404,83.25,1425.75,0.121433,0.753633,0.495924
sre1314,445567.792861876,5257015.1143033,merja,2018,2016,82.54,56.88,24.24,29,5.88947,0,1113.66,0.494726,125,403,82.75,1424.5,0.11147,0.733727,0.476854
sre1314,445497.792861876,5256905.1143033,merja,2018,2016,42.12,54.85,0,25,0.429005,1,1114.59,0.49487,125,403,82.75,1424.5,0.117517,0.666782,0.462818
sre1314,445497.792861876,5256635.1143033,merja,2018,2016,38.29,,13.47,25,1.38837,0,1116.8,0.510009,125,404,83.25,1425.75,0.117198,0.598352,0.417018
sre1314,445617.792861876,5257205.1143033,merja,2018,2016,76.36,43.86,33.05,26,4.889,0.470368,1113.43,0.501915,125,403,82.75,1424.5,0.133692,0.723347,0.458431
sre1314,445747.792861876,5258195.1143033,merja,2018,2016,65.92,50.37,34.42,25.5,4.08256,1,1114.63,0.497586,125,405,80.5,1412.75,0.134878,0.680852,0.266703
sre1314,445547.792861876,5256585.1143033,merja,2018,2016,33.56,,33.17,25,1.47171,0,1116.44,0.494105,125,404,83.25,1425.75,0.12862,0.593684,0.407746
sre1314,445627.792861876,5257535.1143033,merja,2018,2016,61.48,,0,29,4.63264,1,1113.38,0.500842,125,403,82.75,1424.5,0.124882,0.734308,0.27431
sre1314,445527.792861876,5256175.1143033,merja,2018,2016,31.32,,30.65,21,2.88706,1,1113.04,0.494435,125,404,83.25,1425.75,0.123972,0.665914,0.495601
sre1314,445447.792861876,5257295.1143033,merja,2018,2016,49.15,,29.07,27,5.00714,0.462068,1111.84,0.502688,125,403,82.75,1424.5,0.126382,0.776157,0.433457
sre1314,445717.792861876,5256615.1143033,merja,2018,2016,40.65,,27.47,26,1.27199,0,1115.29,0.51105,125,404,83.25,1425.75,0.123874,0.708938,0.470059
sre1314,445617.792861876,5256415.1143033,merja,2018,2016,25.5,,38.49,26,1.92681,1,1115.58,0.50671,125,404,83.25,1425.75,0.127437,0.685244,0.484393
