Location,Billings Area
Grain,Hard Red Winter
Variety,13.0%

Date,Low,High,Units,Weekly Average
2016-06-04,4.20,4.49,$/Bushel,Yes
2016-06-11,4.32,4.53,$/Bushel,Yes
2016-06-18,4.05,4.23,$/Bushel,Yes
2016-06-25,3.71,3.99,$/Bushel,Yes
2016-07-02,3.56,3.78,$/Bushel,Yes
2016-07-09,3.50,3.85,$/Bushel,Yes
2016-07-16,3.57,3.96,$/Bushel,Yes
2016-07-23,3.78,4.09,$/Bushel,Yes
2016-07-30,3.93,4.10,$/Bushel,Yes
2016-08-06,3.88,4.12,$/Bushel,Yes
2016-08-13,3.96,4.17,$/Bushel,Yes
2016-08-20,4.14,4.31,$/Bushel,Yes
2016-08-27,4.02,4.26,$/Bushel,Yes
2016-09-03,3.79,3.97,$/Bushel,Yes
2016-09-10,4.03,4.18,$/Bushel,Yes
2016-09-17,4.02,4.21,$/Bushel,Yes
2016-09-24,4.06,4.25,$/Bushel,Yes
2016-10-01,4.02,4.21,$/Bushel,Yes
2016-10-08,3.93,4.07,$/Bushel,Yes
2016-10-15,3.95,4.11,$/Bushel,Yes
2016-10-22,4.11,4.26,$/Bushel,Yes
2016-10-29,4.01,4.17,$/Bushel,Yes
2016-11-05,4.04,4.25,$/Bushel,Yes
2016-11-12,4.10,4.31,$/Bushel,Yes
2016-11-19,4.06,4.32,$/Bushel,Yes
2016-11-26,4.12,4.27,$/Bushel,Yes
2016-12-03,3.96,4.12,$/Bushel,Yes
2016-12-10,3.83,3.98,$/Bushel,Yes
2016-12-17,4.04,4.20,$/Bushel,Yes
2016-12-31,4.07,4.37,$/Bushel,Yes
2017-01-07,4.17,4.50,$/Bushel,Yes
2017-01-14,4.33,4.67,$/Bushel,Yes
2017-01-21,4.50,4.80,$/Bushel,Yes
2017-01-28,4.33,4.71,$/Bushel,Yes
2017-02-04,4.18,4.67,$/Bushel,Yes
2017-02-11,4.28,4.68,$/Bushel,Yes
2017-02-18,4.37,4.96,$/Bushel,Yes
2017-02-25,4.22,4.85,$/Bushel,Yes
2017-03-04,4.38,4.74,$/Bushel,Yes
2017-03-11,4.54,4.70,$/Bushel,Yes
2017-03-18,4.44,4.60,$/Bushel,Yes
2017-03-25,4.28,4.46,$/Bushel,Yes
2017-04-01,4.23,4.40,$/Bushel,Yes
2017-04-08,4.25,4.48,$/Bushel,Yes
2017-04-15,4.31,4.56,$/Bushel,Yes
2017-04-22,4.17,4.38,$/Bushel,Yes
2017-04-29,4.24,4.41,$/Bushel,Yes
2017-05-06,4.64,4.80,$/Bushel,Yes
2017-05-13,4.39,4.55,$/Bushel,Yes
2017-05-20,4.27,4.43,$/Bushel,Yes
2017-05-27,4.34,4.54,$/Bushel,Yes
2017-06-03,4.31,4.51,$/Bushel,Yes
2017-06-10,4.46,4.63,$/Bushel,Yes
2017-06-17,4.64,4.79,$/Bushel,Yes
2017-06-24,4.76,4.92,$/Bushel,Yes
2017-07-01,4.82,5.11,$/Bushel,Yes
2017-07-08,5.64,5.79,$/Bushel,Yes
2017-07-15,5.47,5.62,$/Bushel,Yes
2017-07-22,5.30,5.45,$/Bushel,Yes
2017-07-29,5.13,5.28,$/Bushel,Yes
2017-08-05,5.01,5.16,$/Bushel,Yes
2017-08-12,4.57,5.00,$/Bushel,Yes
2017-08-19,4.13,4.50,$/Bushel,Yes
2017-08-26,3.96,4.34,$/Bushel,Yes
2017-09-02,4.47,4.62,$/Bushel,Yes
2017-09-09,4.60,4.77,$/Bushel,Yes
2017-09-16,4.57,4.75,$/Bushel,Yes
2017-09-23,4.72,4.88,$/Bushel,Yes
2017-09-30,4.92,5.08,$/Bushel,Yes
2017-10-07,4.93,5.09,$/Bushel,Yes
2017-10-14,4.87,5.04,$/Bushel,Yes
2017-10-21,4.88,5.03,$/Bushel,Yes
2017-10-28,4.86,5.03,$/Bushel,Yes
2017-11-04,4.81,4.97,$/Bushel,Yes
2017-11-11,4.89,5.04,$/Bushel,Yes
2017-11-18,4.82,5.06,$/Bushel,Yes
2017-11-25,4.79,5.04,$/Bushel,Yes
2017-12-02,4.80,4.96,$/Bushel,Yes
2017-12-09,4.82,4.98,$/Bushel,Yes
2017-12-16,4.77,4.92,$/Bushel,Yes
2017-12-23,4.84,5.00,$/Bushel,Yes
2017-12-30,4.88,5.03,$/Bushel,Yes
2018-01-02,5.00,5.15,$/Bushel,No
2018-01-03,5.06,5.21,$/Bushel,No
2018-01-04,5.14,5.29,$/Bushel,No
2018-01-05,5.12,5.27,$/Bushel,No
2018-01-08,5.07,5.22,$/Bushel,No
2018-01-09,5.13,5.28,$/Bushel,No
2018-01-10,5.13,5.29,$/Bushel,No
2018-01-11,5.14,5.29,$/Bushel,No
2018-01-12,5.00,5.15,$/Bushel,No
2018-01-16,4.96,5.11,$/Bushel,No
2018-01-17,5.02,5.17,$/Bushel,No
2018-01-18,5.03,5.18,$/Bushel,No
2018-01-19,5.02,5.17,$/Bushel,No
2018-01-22,5.02,5.17,$/Bushel,No
2018-01-23,4.97,5.12,$/Bushel,No
2018-01-24,5.07,5.22,$/Bushel,No
2018-01-25,5.09,5.24,$/Bushel,No
2018-01-26,5.18,5.33,$/Bushel,No
