Location,Golden Triangle
Grain,Hard Red Winter
Variety,11.0%

Date,Low,High,Units,Weekly Average
2005-01-08,3.19,3.27,$/Bushel,Yes
2005-01-15,3.25,3.28,$/Bushel,Yes
2005-01-22,3.20,3.27,$/Bushel,Yes
2005-01-29,3.05,3.20,$/Bushel,Yes
2005-02-05,3.04,3.16,$/Bushel,Yes
2005-02-12,2.98,3.16,$/Bushel,Yes
2005-02-19,3.05,3.10,$/Bushel,Yes
2005-02-26,3.12,3.22,$/Bushel,Yes
2005-03-05,3.14,3.25,$/Bushel,Yes
2005-03-12,3.16,3.27,$/Bushel,Yes
2005-03-19,3.14,3.28,$/Bushel,Yes
2005-03-26,3.03,3.13,$/Bushel,Yes
2005-04-02,2.94,3.09,$/Bushel,Yes
2005-04-09,2.85,3.00,$/Bushel,Yes
2005-04-16,2.89,2.96,$/Bushel,Yes
2005-04-23,2.89,2.99,$/Bushel,Yes
2005-04-30,3.03,3.14,$/Bushel,Yes
2005-05-07,2.92,3.01,$/Bushel,Yes
2005-05-14,2.85,3.00,$/Bushel,Yes
2005-05-21,2.88,3.06,$/Bushel,Yes
2005-05-28,3.07,3.20,$/Bushel,Yes
2005-06-04,2.98,3.14,$/Bushel,Yes
2005-06-11,2.80,3.02,$/Bushel,Yes
2005-06-18,2.86,3.04,$/Bushel,Yes
2005-06-25,3.01,3.05,$/Bushel,Yes
2005-07-02,2.80,2.91,$/Bushel,Yes
2005-07-09,2.90,2.93,$/Bushel,Yes
2005-07-16,2.79,2.82,$/Bushel,Yes
2005-07-23,2.70,2.77,$/Bushel,Yes
2005-07-30,2.72,2.78,$/Bushel,Yes
2005-08-06,2.72,2.76,$/Bushel,Yes
2005-08-13,2.73,2.84,$/Bushel,Yes
2005-08-20,2.77,2.82,$/Bushel,Yes
2005-08-27,2.83,2.89,$/Bushel,Yes
2005-09-03,2.86,2.91,$/Bushel,Yes
2005-09-10,2.88,3.06,$/Bushel,Yes
2005-09-17,3.06,3.19,$/Bushel,Yes
2005-09-24,3.12,3.18,$/Bushel,Yes
2005-10-01,3.15,3.22,$/Bushel,Yes
2005-10-08,3.18,3.28,$/Bushel,Yes
2005-10-15,3.17,3.26,$/Bushel,Yes
2005-10-22,3.14,3.19,$/Bushel,Yes
2005-10-29,3.26,3.29,$/Bushel,Yes
2005-11-05,3.23,3.30,$/Bushel,Yes
2005-11-12,3.25,3.31,$/Bushel,Yes
2005-11-19,3.22,3.28,$/Bushel,Yes
2005-11-26,3.12,3.20,$/Bushel,Yes
2005-12-03,3.28,3.32,$/Bushel,Yes
2005-12-10,3.25,3.30,$/Bushel,Yes
2005-12-17,3.24,3.32,$/Bushel,Yes
2005-12-24,3.31,3.35,$/Bushel,Yes
2005-12-31,3.37,3.42,$/Bushel,Yes
2006-01-07,3.35,3.36,$/Bushel,Yes
2006-01-14,3.25,3.27,$/Bushel,Yes
2006-01-21,3.28,3.30,$/Bushel,Yes
2006-01-28,3.37,3.40,$/Bushel,Yes
2006-02-04,3.44,3.48,$/Bushel,Yes
2006-02-11,3.57,3.60,$/Bushel,Yes
2006-02-18,3.51,3.54,$/Bushel,Yes
2006-02-25,3.59,3.65,$/Bushel,Yes
2006-03-04,3.62,3.65,$/Bushel,Yes
2006-03-11,3.63,3.66,$/Bushel,Yes
2006-03-18,3.45,3.47,$/Bushel,Yes
2006-03-25,3.37,3.38,$/Bushel,Yes
2006-04-01,3.37,3.40,$/Bushel,Yes
2006-04-08,3.59,3.60,$/Bushel,Yes
2006-04-15,3.91,3.91,$/Bushel,Yes
2006-04-22,3.78,3.83,$/Bushel,Yes
2006-04-29,3.65,3.77,$/Bushel,Yes
