field,x,y,farmer,year,prev_year,yld,prev_yld,aa_n,prev_aa_n,aspect_rad,slope,elev,tpi,prec_cy,prec_py,gdd_cy,gdd_py,veg_cy,veg_py,veg_2py,X,Y,pro,NR
henrys,533602.724044735,5303721.20440146,wood,2018,2016,37.29,,0,89.0307,5.90907,0,857.118,0.520268,121,487,38,2110.75,,,,533602.724044735,5303721.20440146,11.2617979753559,134.139627142806
henrys,533572.724044735,5303721.20440146,wood,2018,2016,40.37,,0,86.7937,4.80036,0.961884,856.935,0.441135,121,487,38,2110.75,,,,533572.724044735,5303721.20440146,11.1530281644568,149.694723460231
henrys,533602.724044735,5303711.20440146,wood,2018,2016,38.72,,0,89.24,1.85842,0,857.15,0.501783,121,487,38,2110.75,,,,533602.724044735,5303711.20440146,11.2662911534783,142.227372343379
henrys,533572.724044735,5303711.20440146,wood,2018,2016,41.27,,0,86.7937,5.3868,0.985627,856.998,0.449912,121,487,38,2110.75,,,,533572.724044735,5303711.20440146,11.157380504573,154.774778533417
henrys,533532.724044735,5304591.20440146,wood,2018,2016,46.96,,0,87.4419,5.38348,0,854.593,0.476343,121,481,38,2111.75,,,,533532.724044735,5304591.20440146,10.6323624185705,176.43873310178
henrys,533562.724044735,5304641.20440146,wood,2018,2016,45.87,,0,85.9574,5.18518,1,854.597,0.461442,121,481,38,2111.75,,,,533562.724044735,5304641.20440146,10.7180915780432,172.240804371871
henrys,533562.724044735,5304661.20440146,wood,2018,2016,69.14,,0,88.5919,4.11715,1,854.613,0.501343,121,481,38,2111.75,,,,533562.724044735,5304661.20440146,10.7094995408551,297.420460960611
henrys,533442.724044735,5304571.20440146,wood,2018,2016,52.53,,0,88.6126,1.02267,0.953847,854.77,0.519954,113.325,461.045,39.535,2129.59,,,,533442.724044735,5304571.20440146,10.3186389395515,199.241117101595
henrys,533482.724044735,5304571.20440146,wood,2018,2016,29.76,,0,85.8944,1.78182,0.268483,854.643,0.472218,121,481,38,2111.75,,,,533482.724044735,5304571.20440146,10.4619287079648,82.2007009446574
henrys,533602.724044735,5304141.20440146,wood,2018,2016,41.69,,0,85.0163,1.28373,1,855.522,0.458016,121,487,38,2110.75,,,,533602.724044735,5304141.20440146,11.0869712097921,155.952235797854
henrys,533602.724044735,5304111.20440146,wood,2018,2016,58.91,,0,88.9893,0.478565,0.985907,855.714,0.538491,121,487,38,2110.75,,,,533602.724044735,5304111.20440146,11.0975620365383,251.594390468136
henrys,533622.724044735,5304141.20440146,wood,2018,2016,58.87,,0,42.9263,0.816214,0.299812,855.318,0.450572,121,487,38,2110.75,,,,533622.724044735,5304141.20440146,11.181369454355,253.319894449471
henrys,533532.724044735,5304131.20440146,wood,2018,2016,71.67,,0,89.0307,4.00214,1,855.877,0.467444,121,487,38,2110.75,,,,533532.724044735,5304131.20440146,10.8318402187221,314.661603720678
