field,x,y,farmer,year,prev_year,yld,prev_yld,aa_n,prev_aa_n,aspect_rad,slope,elev,tpi,prec_cy,prec_py,gdd_cy,gdd_py,veg_cy,veg_py,veg_2py,X,Y,pro,NR
minnie,537285.210925068,5306049.65512763,wood,2018,2016,74.12,33.03,94.8129,21.06,1.67172,1,845.658,0.492806,118,489,37.25,2104.75,,,,537285.210925068,5306049.65512763,11.8594427618117,306.361656296318
minnie,537385.210925068,5305759.65512763,wood,2018,2016,53.99,39.88,97.4574,36.72,3.93506,1,844.13,0.502775,118,484,38,2107.5,,,,537385.210925068,5305759.65512763,11.8531197274133,187.410347306085
minnie,537385.210925068,5305769.65512763,wood,2018,2016,49.38,35.25,97.4574,36.72,4.0894,1,844.223,0.495905,118,484,38,2107.5,,,,537385.210925068,5305769.65512763,11.8496175527466,160.470805874743
minnie,537335.210925068,5305879.65512763,wood,2018,2016,51.28,27.42,96.2918,0,2.15755,0.801525,844.781,0.507715,118,484,38,2107.5,,,,537335.210925068,5305879.65512763,11.8079793007267,171.398765105781
minnie,537335.210925068,5305889.65512763,wood,2018,2016,52.5,20.71,96.2918,0,1.87211,0,844.848,0.540952,118,484,38,2107.5,,,,537335.210925068,5305889.65512763,11.8144477750628,178.614896233783
minnie,537335.210925068,5305859.65512763,wood,2018,2016,66.31,30.72,96.2918,68.8991,1.85693,1,844.661,0.48199,118,484,38,2107.5,,,,537335.210925068,5305859.65512763,11.8038930396065,258.682234075037
minnie,537245.210925068,5305939.65512763,wood,2018,2016,63.15,,96.4947,50.2308,1.27678,1,846.76,0.525081,118,489,37.25,2104.75,,,,537245.210925068,5305939.65512763,11.8411837405065,241.059667841788
minnie,537245.210925068,5305949.65512763,wood,2018,2016,57.88,,96.4119,50.2308,1.38303,0.803982,846.721,0.50308,118,489,37.25,2104.75,,,,537245.210925068,5305949.65512763,11.8480469294192,210.545415003793
minnie,537245.210925068,5306029.65512763,wood,2018,2016,64.65,,93.9361,50.9274,1.58322,1,846.61,0.523413,118,489,37.25,2104.75,,,,537245.210925068,5306029.65512763,11.8534098878622,251.458652973163
minnie,537455.210925068,5306069.65512763,wood,2018,2016,70.31,,95.0714,91.8362,5.38635,1.14263,844.878,0.532893,118,489,37.25,2104.75,,,,537455.210925068,5306069.65512763,11.9479102934889,286.231577192758
minnie,537455.210925068,5306079.65512763,wood,2018,2016,69.56,,99.0063,91.8362,5.34933,1.74361,844.73,0.486972,118,489,37.25,2104.75,,,,537455.210925068,5306079.65512763,11.9392948216686,279.505580077843
minnie,537455.210925068,5306039.65512763,wood,2018,2016,74.95,,95.0714,91.7762,1.2984,1.06353,844.995,0.419935,118,489,37.25,2104.75,,,,537455.210925068,5306039.65512763,11.9315147810699,313.002811079911
minnie,537675.210925068,5305929.65512763,wood,2018,2016,20.01,,104.65,51.2509,1.59846,1,845.361,0.581582,116,468,39.75,2127,,,,537675.210925068,5305929.65512763,12.1620060139092,-12.377287324562
minnie,537675.210925068,5305939.65512763,wood,2018,2016,53.87,,97.1226,91.2843,1.86422,1,845.234,0.537923,116,468,39.75,2127,,,,537675.210925068,5305939.65512763,12.1661991522511,192.853938757559
minnie,537655.210925068,5305889.65512763,wood,2018,2016,49.5,,97.3838,101.051,3.82717,2,844.609,0.520245,116,468,39.75,2127,,,,537655.210925068,5305889.65512763,12.1340506895324,166.199880842648
minnie,537665.210925068,5305889.65512763,wood,2018,2016,49.85,,0,101.051,3.00352,1.19812,844.725,0.534165,116,468,39.75,2127,,,,537665.210925068,5305889.65512763,12.1500695248826,220.873829298032
minnie,537535.210925068,5305999.65512763,wood,2018,2016,53.19,,89.5307,101.323,0.524373,1.40424,845.005,0.412649,107,443,41,2149.25,,,,537535.210925068,5305999.65512763,12.0136168767954,190.054189880755
minnie,537535.210925068,5306009.65512763,wood,2018,2016,51.43,,91.1219,101.323,0.637023,2,844.808,0.410829,107,443,41,2149.25,,,,537535.210925068,5306009.65512763,12.0271677894391,179.083352720365
minnie,537255.210925068,5305599.65512763,wood,2018,2016,9.16,6.64,92.0626,50.6866,4.57983,4.91573,848.424,1.83982,118,484,38,2107.5,,,,537255.210925068,5305599.65512763,11.9399037024396,-70.7725674139986
minnie,537335.210925068,5305759.65512763,wood,2018,2016,65.29,33.79,86.1456,103.126,1.64415,1.79731,844.318,0.462945,118,484,38,2107.5,,,,537335.210925068,5305759.65512763,11.8446328820119,259.168649784876
minnie,537335.210925068,5305769.65512763,wood,2018,2016,72.27,35.42,84.4427,103.126,1.651,1,844.355,0.497706,118,484,38,2107.5,,,,537335.210925068,5305769.65512763,11.8333587966378,300.462123921073
minnie,537335.210925068,5305749.65512763,wood,2018,2016,61.74,31.81,90.7143,69.9057,1.44587,2,844.314,0.442368,118,484,38,2107.5,,,,537335.210925068,5305749.65512763,11.8494786827103,236.135880117716
minnie,537335.210925068,5305739.65512763,wood,2018,2016,52.84,28.28,90.7143,50.9144,1.34065,2,844.398,0.486854,118,484,38,2107.5,,,,537335.210925068,5305739.65512763,11.8622696786231,184.502919318977
minnie,537335.210925068,5305729.65512763,wood,2018,2016,11.36,31,90.7143,50.9144,1.34035,2,844.467,0.49179,118,484,38,2107.5,,,,537335.210925068,5305729.65512763,11.8609927044549,-57.4748426823073
minnie,537285.210925068,5305709.65512763,wood,2018,2016,51.31,28.97,102.956,74.6917,1.13062,1,846.577,0.505731,118,484,38,2107.5,,,,537285.210925068,5305709.65512763,11.8930006068092,169.56798939329
minnie,537285.210925068,5305719.65512763,wood,2018,2016,54.28,33.13,83.3916,74.6917,1.00645,1.05046,846.51,0.495431,118,484,38,2107.5,,,,537285.210925068,5305719.65512763,11.8791721716084,197.167793913165
minnie,537385.210925068,5305949.65512763,wood,2018,2016,58.29,41.2,97.5333,37.2109,4.45643,0,845.042,0.496511,118,489,37.25,2104.75,,,,537385.210925068,5305949.65512763,11.8531648474316,212.440265398303
minnie,537385.210925068,5305959.65512763,wood,2018,2016,68.61,36.34,97.5333,37.2109,4.35589,0,845.04,0.462164,118,489,37.25,2104.75,,,,537385.210925068,5305959.65512763,11.8545648634697,272.642497140048
minnie,537535.210925068,5305969.65512763,wood,2018,2016,59.21,,89.5307,99.5053,3.76095,1,845.733,0.530693,107,443,41,2149.25,,,,537535.210925068,5305969.65512763,11.997989005582,225.169598923145
