field,x,y,farmer,year,prev_year,yld,prev_yld,aa_n,prev_aa_n,aspect_rad,slope,elev,tpi,prec_cy,prec_py,gdd_cy,gdd_py,veg_cy,veg_py,veg_2py,X,Y,pro,NR
sec1west,640270.16143609,5100508.88335425,broyles,2016,2014,54.12,78.46,31.4949,,3.025,1,1244.17,0.522669,71,436,527,1795.25,,,,640270.16143609,5100508.88335425,12.5105356224464,235.898615682269
sec1west,640270.16143609,5100528.88335425,broyles,2016,2014,56.24,77.24,31.4949,,2.94806,1,1244.51,0.517803,71,436,527,1795.25,,,,640270.16143609,5100528.88335425,12.7860917150831,253.752077125976
sec1west,640310.16143609,5100508.88335425,broyles,2016,2014,58.66,70.15,47.7225,,2.96166,1,1244.1,0.51429,71,436,527,1795.25,,,,640310.16143609,5100508.88335425,12.06,245.679567790607
sec1west,640310.16143609,5100498.88335425,broyles,2016,2014,50.89,63.44,47.7225,,2.99637,1,1243.92,0.514097,71,436,527,1795.25,,,,640310.16143609,5100498.88335425,12.4932091314013,207.323775027829
sec1west,640570.16143609,5100448.88335425,broyles,2016,2014,42.19,53.78,46.8749,,2.5814,1,1241.9,0.503881,71,436,527,1795.25,,,,640570.16143609,5100448.88335425,11.6664305272398,142.912742939243
sec1west,640570.16143609,5100438.88335425,broyles,2016,2014,37.48,46.05,46.8749,,2.59227,1,1241.75,0.503907,71,436,527,1795.25,,,,640570.16143609,5100438.88335425,11.7620510998592,117.091097002544
sec1west,640560.16143609,5100458.88335425,broyles,2016,2014,51.88,58.83,46.8749,,2.56129,1,1242.16,0.50832,71,436,527,1795.25,,,,640560.16143609,5100458.88335425,11.0622792323403,186.708402188257
sec1west,640200.16143609,5100518.88335425,broyles,2016,2014,24.79,58.51,32.5316,,3.78582,4.01782,1244.19,0.967075,71,436,527,1795.25,,,,640200.16143609,5100518.88335425,12.2899244888529,55.848884551148
sec1west,640200.16143609,5100498.88335425,broyles,2016,2014,17.56,51.91,32.5316,,4.07893,5.57998,1242.1,0.230695,71,436,527,1795.25,,,,640200.16143609,5100498.88335425,12.6920205693558,14.9253536477204
sec1west,640200.16143609,5100468.88335425,broyles,2016,2014,25,43.19,32.5316,,4.04887,1.44431,1241.22,0.379774,71,436,527,1795.25,,,,640200.16143609,5100468.88335425,13.4486444633775,66.1716942869647
sec1west,640220.16143609,5100488.88335425,broyles,2016,2014,35.12,,32.5316,,3.80345,4.64526,1242.84,0.494486,71,436,527,1795.25,,,,640220.16143609,5100488.88335425,12.6999403744319,122.41822221162
sec1west,640490.16143609,5100578.88335425,broyles,2016,2014,29.35,51.54,47.0244,,2.99235,1,1243.94,0.490314,71,436,527,1795.25,,,,640490.16143609,5100578.88335425,13.5766627655703,87.0520346391463
sec1west,640520.16143609,5100578.88335425,broyles,2016,2014,29.12,65.04,47.0244,,2.63617,1,1243.86,0.50795,71,436,527,1795.25,,,,640520.16143609,5100578.88335425,14.3206417338936,91.2601487229358
sec1west,640190.16143609,5100468.88335425,broyles,2016,2014,20.59,,0,,3.99744,1.04894,1241.08,0.400632,71,436,527,1795.25,,,,640190.16143609,5100468.88335425,13.3700290250498,55.1987190851572
sec1west,640540.16143609,5100588.88335425,broyles,2016,2014,27.82,,0,,2.93266,1,1243.87,0.499278,71,436,527,1795.25,,,,640540.16143609,5100588.88335425,13.562647520201,102.44288206545
sec1west,640510.16143609,5100588.88335425,broyles,2016,2014,28.93,,0,,2.78555,1,1244.04,0.514438,71,436,527,1795.25,,,,640510.16143609,5100588.88335425,13.9691635630703,112.705436023023
sec1west,640490.16143609,5100588.88335425,broyles,2016,2014,29.15,,0,,2.99578,1,1244.08,0.503657,71,436,527,1795.25,,,,640490.16143609,5100588.88335425,13.4389938032081,109.905348645819
sec1west,640530.16143609,5100588.88335425,broyles,2016,2014,25.37,,0,,2.71096,1,1243.93,0.489311,71,436,527,1795.25,,,,640530.16143609,5100588.88335425,13.7404119803532,88.0610279597018
sec1west,640670.16143609,5100558.88335425,broyles,2016,2014,34.48,58.05,47.0244,,2.63967,1,1242.68,0.505937,71,436,527,1795.25,,,,640670.16143609,5100558.88335425,12.7346648033727,111.098919232008
sec1west,640990.16143609,5100488.88335425,broyles,2016,2014,20.3,57.98,44.7083,,1.85018,1,1238.58,0.509551,57,432,528.75,1802.5,,,,640990.16143609,5100488.88335425,12.5552173736386,24.2406760190652
sec1west,640990.16143609,5100498.88335425,broyles,2016,2014,24.51,61.08,44.7083,,1.8462,1,1238.63,0.517312,57,432,528.75,1802.5,,,,640990.16143609,5100498.88335425,12.6356227621441,50.4459612650238
sec1west,640680.16143609,5100538.88335425,broyles,2016,2014,49.01,56.11,47.0001,,2.67456,1,1242.28,0.503379,71,436,527,1795.25,,,,640680.16143609,5100538.88335425,12.4704753920754,195.96587487828
sec1west,640680.16143609,5100528.88335425,broyles,2016,2014,53.55,58.15,47.0001,,2.69622,1,1242.12,0.503887,71,436,527,1795.25,,,,640680.16143609,5100528.88335425,12.5871136958032,225.461033217032
sec1west,640960.16143609,5100538.88335425,broyles,2016,2014,35.77,50.36,32.454,,1.73344,1,1239.1,0.500279,57,432,528.75,1802.5,,,,640960.16143609,5100538.88335425,13.6102925598966,136.189128484286
sec1west,640900.16143609,5100548.88335425,broyles,2016,2014,30.98,41.63,40.4969,,1.99359,1,1240.1,0.503016,71,436,527,1795.25,,,,640900.16143609,5100548.88335425,14.3455594627472,107.188780759889
sec1west,640880.16143609,5100558.88335425,broyles,2016,2014,27.27,49.83,91.5191,,2.02528,1,1240.48,0.502595,71,436,527,1795.25,,,,640880.16143609,5100558.88335425,14.260686608175,54.78501535605
sec1west,640890.16143609,5100548.88335425,broyles,2016,2014,25.73,39.65,40.4969,,2.01663,1,1240.2,0.500518,71,436,527,1795.25,,,,640890.16143609,5100548.88335425,14.3233945383162,72.4881390438639
sec1west,640660.16143609,5100448.88335425,broyles,2016,2014,30.58,31.18,43.7491,,2.72432,1,1240.97,0.502698,71,436,527,1795.25,,,,640660.16143609,5100448.88335425,12.0759938677085,82.2060671246761
sec1west,640240.16143609,5100578.88335425,broyles,2016,2014,18.05,15.3,0,,3.39618,0,1245.18,0.53615,71,436,527,1795.25,,,,640240.16143609,5100578.88335425,12.1092482314567,31.8754979014373
sec1west,640870.16143609,5100448.88335425,broyles,2016,2014,55.38,47.46,47.4655,,2.23983,1,1239.73,0.500191,71,436,527,1795.25,,,,640870.16143609,5100448.88335425,10.99,204.14457655636
sec1west,640870.16143609,5100468.88335425,broyles,2016,2014,47.67,45.82,47.4655,,2.16105,1,1239.85,0.489889,71,436,527,1795.25,,,,640870.16143609,5100468.88335425,11.7671393478247,175.934852639535
sec1west,640760.16143609,5100568.88335425,broyles,2016,2014,18.72,18.97,47.0244,,2.49972,1,1242.16,0.513034,71,436,527,1795.25,,,,640760.16143609,5100568.88335425,13.640635694782,19.5425399383274
sec1west,640740.16143609,5100568.88335425,broyles,2016,2014,28.43,33.17,47.0244,,2.54767,1,1242.3,0.496152,71,436,527,1795.25,,,,640740.16143609,5100568.88335425,14.2655838896309,86.3373266554072
