field,x,y,farmer,year,prev_year,yld,prev_yld,aa_n,prev_aa_n,aspect_rad,slope,elev,tpi,prec_cy,prec_py,gdd_cy,gdd_py,veg_cy,veg_py,veg_2py,X,Y,pro,NR
sec35mid,639145.883313345,5101440.12963972,broyles,2018,2016,108.9,49.7,74.96,61.36,2.65226,2,1279.75,0.519268,196,392,51.25,1985.5,,,,639145.883313345,5101440.12963972,12.0704206768725,528.052993765729
sec35mid,639155.883313345,5101620.12963972,broyles,2018,2016,74.4,39.21,0,0,3.07894,3.59297,1289.38,0.692417,196,392,51.25,1985.5,,,,639155.883313345,5101620.12963972,11.7661160699485,356.41501979625
sec35mid,639165.883313345,5101630.12963972,broyles,2018,2016,49.92,37.98,0,0,2.11555,3.15239,1289.57,0.798327,196,392,51.25,1985.5,,,,639165.883313345,5101630.12963972,11.7992411447868,215.067971455067
sec35mid,639165.883313345,5101620.12963972,broyles,2018,2016,58.5,38.77,0,0,2.64063,3.36764,1289.31,0.895126,196,392,51.25,1985.5,,,,639165.883313345,5101620.12963972,11.7565505931398,264.013035107296
sec35mid,639155.883313345,5101470.12963972,broyles,2018,2016,76.93,36.29,77.11,43.65,2.92705,3,1280.84,0.41567,196,392,51.25,1985.5,,,,639155.883313345,5101470.12963972,11.9459491744924,334.648732137978
sec35mid,639095.883313345,5101480.12963972,broyles,2018,2016,85.73,51.84,91.97,107.56,2.37264,2.1009,1282.29,0.417598,196,392,51.25,1985.5,,,,639095.883313345,5101480.12963972,12.0602143318749,381.730244740556
sec35mid,639085.883313345,5101490.12963972,broyles,2018,2016,94.77,65.28,112.04,46.18,2.56467,2.47013,1282.81,0.325287,196,392,51.25,1985.5,,,,639085.883313345,5101490.12963972,12.0585285554354,424.262570841104
sec35mid,639135.883313345,5101410.12963972,broyles,2018,2016,87.8,60.84,74.84,61.36,2.52507,3,1278.87,0.563675,196,392,51.25,1985.5,,,,639135.883313345,5101410.12963972,12.1947672783341,407.26610657356
sec35mid,639115.883313345,5101510.12963972,broyles,2018,2016,94.95,42.02,115.08,45.52,2.89175,4.04085,1283.66,0.373153,196,392,51.25,1985.5,,,,639115.883313345,5101510.12963972,11.9533142703843,420.157812492345
sec35mid,639155.883313345,5101500.12963972,broyles,2018,2016,75.29,43.42,113.75,44.94,3.12134,3.59297,1282.53,0.415973,196,392,51.25,1985.5,,,,639155.883313345,5101500.12963972,11.8710446274171,303.326144498752
