"geometry","cell_id","field","x","y","grid","farmer","year","prev_year","yld","prev_yld","aa_n","prev_aa_n","aspect_rad","slope","elev","tpi","prec_cy_d","prec_py_d","gdd_cy_d","gdd_py_d","prec_cy_g","prec_py_g","gdd_cy_g","gdd_py_g","ndvi_cy_s","ndvi_py_s","ndvi_2py_s","ndvi_cy_l","ndvi_py_l","ndvi_2py_l","ndre_cy","ndre_py","ndre_2py","cire_cy","cire_py","cire_2py","ssm_cy","ssm_py","susm_cy","susm_py","musym"
"0101000020E6100000BDA3DE1736A35BC0D636444593F24740","183_60","henrys","533622.724044735","5304741.20440146","grid","wood","2016","2015","48.57","17.56","43.9355",NULL,"5.08368","0","854.88","0.521661","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.397946","0.619884","0.727379",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000CD0683842FA35BC02870123893F24740","183_63","henrys","533652.724044735","5304741.20440146","grid","wood","2016","2015","32.34","24.61","43.7837",NULL,"4.45448","0","854.858","0.498309","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.388032","0.637926","0.742252",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E61000002538DDCF33A35BC08B7DF9E3A7F24740","190_61","henrys","533632.724044735","5304811.20440146","grid","wood","2016","2015","30.9","16.11","41.9019",NULL,"4.3631","0.764673","854.627","0.490423","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.405612","0.648779","0.783201",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000E1F99F492FA35BC0C8853249C8F24740","201_63","henrys","533652.724044735","5304921.20440146","grid","wood","2016","2015",NULL,"2.75","44.4944",NULL,"5.68981","5.37616","852.031","0.604458","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.345877","0.520641","0.682021",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E610000020FDC27A31A35BC0A0D8984DC8F24740","201_62","henrys","533642.724044735","5304921.20440146","grid","wood","2016","2015",NULL,"1.96","47.2383",NULL,"5.57902","7.86878","851.563","0.459451","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.345877","0.520641","0.682021",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000376F5A462FA35BC0332AED3BCBF24740","202_63","henrys","533652.724044735","5304931.20440146","grid","wood","2016","2015",NULL,NULL,"44.4944",NULL,"5.54849","5.81274","851.237","0.496148","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.345877","0.520641","0.682021",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E61000000A47087E31A35BC08632DE5AC5F24740","200_62","henrys","533642.724044735","5304911.20440146","grid","wood","2016","2015","2.59","5.97","47.2383",NULL,"1.63759","6.577","852.766","0.825817","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.345877","0.520641","0.682021",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E61000005BEBE00C0AA35BC0F0A2BE18C2F24740","199_80","henrys","533822.724044735","5304901.20440146","grid","wood","2016","2015",NULL,"19.49","43.6163",NULL,"4.92103","1","853.337","0.499991","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.451649","0.574303","0.603904",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000CD2797090AA35BC08339790BC5F24740","200_80","henrys","533822.724044735","5304911.20440146","grid","wood","2016","2015",NULL,"11.96","47.2843",NULL,"0.559437","0.768183","853.207","0.459547","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.402507","0.542848","0.620226",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E61000000D4793680EA35BC0A9800B07C8F24740","201_78","henrys","533802.724044735","5304921.20440146","grid","wood","2016","2015","20.03","6.7","43.941",NULL,"0.204655","0.231466","853.18","0.518022","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.408553","0.54723","0.625191",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000B22FBE160AA35BC082DA8E40B9F24740","196_80","henrys","533822.724044735","5304871.20440146","grid","wood","2016","2015",NULL,"25.04","44.3693",NULL,"5.63492","0.766779","853.624","0.468711","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.438907","0.576805","0.624155",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E610000004346D9610A35BC08A7031FECAF24740","202_77","henrys","533792.724044735","5304931.20440146","grid","wood","2016","2015",NULL,NULL,"0",NULL,"6.16503","1","853.119","0.574329","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.446198","0.58618","0.670441",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000CE004A650EA35BC07C17C6F9CAF24740","202_78","henrys","533802.724044735","5304931.20440146","grid","wood","2016","2015",NULL,NULL,"0",NULL,"0.286236","1","853.075","0.523812","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.408553","0.54723","0.625191",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000A5CE26340CA35BC0BF685AF5CAF24740","202_79","henrys","533812.724044735","5304931.20440146","grid","wood","2016","2015",NULL,NULL,"0",NULL,"4.51299","1","853.075","0.52269","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.408553","0.54723","0.625191",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E61000008B9D03030AA35BC05164EEF0CAF24740","202_80","henrys","533822.724044735","5304931.20440146","grid","wood","2016","2015",NULL,NULL,"0",NULL,"5.8776","0.281984","853.08","0.528996","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.402507","0.542848","0.620226",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E61000007C4B23AA10A35BC061D6D14DB9F24740","196_77","henrys","533792.724044735","5304871.20440146","grid","wood","2016","2015","34.79","21.93","44.2828",NULL,"5.80137","1","853.576","0.510879","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.542118","0.678321","0.745973",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E61000001664D1D53EA35BC0CBAB4C3C99F24740","185_56","henrys","533582.724044735","5304761.20440146","grid","wood","2016","2015",NULL,NULL,"86.1663",NULL,"1.42615","0","854.449","0.502015","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.709816","0.343923","0.498053",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000CF55B2A43CA35BC08069E83799F24740","185_57","henrys","533592.724044735","5304761.20440146","grid","wood","2016","2015",NULL,NULL,"90.62",NULL,"5.0717","0.721816","854.455","0.443884","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.709816","0.343923","0.498053",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000550594FF49A35BC0A5CA90266AF24740","169_51","henrys","533532.724044735","5304601.20440146","grid","wood","2016","2015",NULL,NULL,"86.3337",NULL,"5.46207","0","854.532","0.467888","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.379175","0.31921","0.571458",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E610000001ED78CE47A35BC02E432E226AF24740","169_52","henrys","533542.724044735","5304601.20440146","grid","wood","2016","2015",NULL,NULL,"84.8493",NULL,"5.23009","0.281636","854.64","0.500354","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.416174","0.331999","0.56705",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000B8D55D9D45A35BC00A66CB1D6AF24740","169_53","henrys","533552.724044735","5304601.20440146","grid","wood","2016","2015",NULL,NULL,"84.8493",NULL,"4.52728","0.0125641","854.678","0.480087","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.416174","0.331999","0.56705",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E610000097F16C2D4CA35BC0AAC5AD1D6DF24740","170_50","henrys","533522.724044735","5304611.20440146","grid","wood","2016","2015",NULL,NULL,"86.3337",NULL,"0.080694","0","854.492","0.498579","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.41496","0.32488","0.577898",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000859851FC49A35BC0FB924B196DF24740","170_51","henrys","533532.724044735","5304611.20440146","grid","wood","2016","2015",NULL,NULL,"86.3337",NULL,"5.52692","0","854.488","0.477432","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.41496","0.32488","0.577898",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E61000007F4036CB47A35BC0A00AE9146DF24740","170_52","henrys","533542.724044735","5304611.20440146","grid","wood","2016","2015",NULL,NULL,"84.8493",NULL,"5.14062","1","854.611","0.525883","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.43085","0.331342","0.567003",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E610000083E91A9A45A35BC0952C86106DF24740","170_53","henrys","533552.724044735","5304611.20440146","grid","wood","2016","2015",NULL,NULL,"84.8493",NULL,"4.76553","0.281569","854.717","0.571152","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.43085","0.331342","0.567003",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000A438796243A35BC0C78198F172F24740","172_54","henrys","533562.724044735","5304631.20440146","grid","wood","2016","2015",NULL,NULL,"86.0407",NULL,"5.35075","1","854.7","0.522743","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.443332","0.353111","0.56411",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E61000005B645D3141A35BC093F634ED72F24740","172_55","henrys","533572.724044735","5304631.20440146","grid","wood","2016","2015",NULL,NULL,"86.0407",NULL,"5.61666","1","854.762","0.518621","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.443332","0.353111","0.56411",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E61000001D9141003FA35BC0B315D1E872F24740","172_56","henrys","533582.724044735","5304631.20440146","grid","wood","2016","2015",NULL,NULL,"88.6963",NULL,"4.95987","0.95941","854.861","0.488015","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.444444","0.355269","0.563926",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000EBBE25CF3CA35BC025DF6CE472F24740","172_57","henrys","533592.724044735","5304631.20440146","grid","wood","2016","2015",NULL,NULL,"88.6963",NULL,"4.96881","1","854.936","0.497943","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.444444","0.355269","0.563926",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E61000009B09365F43A35BC0114553E475F24740","173_54","henrys","533562.724044735","5304641.20440146","grid","wood","2016","2015",NULL,NULL,"85.9574",NULL,"5.18518","1","854.597","0.461442","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.468906","0.363377","0.570807",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E61000007ABF426C43A35BC0393368196AF24740","169_54","henrys","533562.724044735","5304601.20440146","grid","wood","2016","2015",NULL,NULL,"86.25",NULL,"4.97046","0.987265","854.843","0.513614","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.440918","0.353232","0.559809",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E610000046AA273B41A35BC0BCAA04156AF24740","169_55","henrys","533572.724044735","5304601.20440146","grid","wood","2016","2015",NULL,NULL,"86.25",NULL,"4.972","1","854.98","0.593871","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.440918","0.353232","0.559809",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E610000020960C0A3FA35BC090CCA0106AF24740","169_56","henrys","533582.724044735","5304601.20440146","grid","wood","2016","2015",NULL,NULL,"87.7974",NULL,"5.77515","0.229708","854.992","0.483532","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.443068","0.355271","0.559115",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E61000000383F1D83CA35BC0B5983C0C6AF24740","169_57","henrys","533592.724044735","5304601.20440146","grid","wood","2016","2015",NULL,NULL,"87.7974",NULL,"4.98263","0.959201","855.04","0.473309","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.443068","0.355271","0.559115",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E61000009393FF6843A35BC0DCF8220C6DF24740","170_54","henrys","533562.724044735","5304611.20440146","grid","wood","2016","2015",NULL,NULL,"86.5426",NULL,"4.96967","0.960245","854.784","0.49885","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.443332","0.353111","0.56411",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000AF3EE43741A35BC0796FBF076DF24740","170_55","henrys","533572.724044735","5304611.20440146","grid","wood","2016","2015",NULL,NULL,"86.5426",NULL,"5.30632","0.770455","854.912","0.563671","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.443332","0.353111","0.56411",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000D5EAC8063FA35BC064905B036DF24740","170_56","henrys","533582.724044735","5304611.20440146","grid","wood","2016","2015",NULL,NULL,"87.7974",NULL,"5.1739","0.717101","854.902","0.43192","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.444444","0.355269","0.563926",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E61000000798ADD53CA35BC0A45BF7FE6CF24740","170_57","henrys","533592.724044735","5304611.20440146","grid","wood","2016","2015",NULL,NULL,"87.7974",NULL,"5.00555","0.986944","854.989","0.460729","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.444444","0.355269","0.563926",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000A166BC6543A35BC0B6BDDDFE6FF24740","171_54","henrys","533562.724044735","5304621.20440146","grid","wood","2016","2015",NULL,NULL,"86.5426",NULL,"5.04133","1","854.772","0.541206","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.443332","0.353111","0.56411",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E61000000AD2A03441A35BC06A337AFA6FF24740","171_55","henrys","533572.724044735","5304621.20440146","grid","wood","2016","2015",NULL,NULL,"86.5426",NULL,"5.59613","0.282035","854.866","0.571064","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.443332","0.353111","0.56411",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E61000007E3E85033FA35BC0715316F66FF24740","171_56","henrys","533582.724044735","5304621.20440146","grid","wood","2016","2015",NULL,NULL,"88.6963",NULL,"4.82469","0.229043","854.855","0.430166","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.444444","0.355269","0.563926",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000FEAB69D23CA35BC0C81DB2F16FF24740","171_57","henrys","533592.724044735","5304621.20440146","grid","wood","2016","2015",NULL,NULL,"88.6963",NULL,"4.85111","0.959163","854.942","0.459254","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.444444","0.355269","0.563926",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000E93C0C7643A35BC09BDD374161F24740","166_54","henrys","533562.724044735","5304571.20440146","grid","wood","2016","2015",NULL,NULL,"86.7937",NULL,"5.0233","0.947529","854.854","0.427664","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.447792","0.357429","0.536011",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000CBE6F14441A35BC0D157D43C61F24740","166_55","henrys","533572.724044735","5304571.20440146","grid","wood","2016","2015",NULL,NULL,"86.7937",NULL,"4.89547","1","855.012","0.533518","80","344","574.75","2174.25","86.0052","358.681","675.612","2127.39",NULL,NULL,NULL,"0.447792","0.357429","0.536011",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
