"geometry","cell_id","field","x","y","grid","farmer","year","prev_year","pro","prev_pro","aa_n","prev_aa_n","aspect_rad","slope","elev","tpi","prec_cy_d","prec_py_d","gdd_cy_d","gdd_py_d","prec_cy_g","prec_py_g","gdd_cy_g","gdd_py_g","ndvi_cy_s","ndvi_py_s","ndvi_2py_s","ndvi_cy_l","ndvi_py_l","ndvi_2py_l","ndre_cy","ndre_py","ndre_2py","cire_cy","cire_py","cire_2py","ssm_cy","ssm_py","susm_cy","susm_py","musym"
"0101000020E61000008D31447D38A35BC05EABFD1D64F24740","167_59","henrys","533612.724044735","5304581.20440146","grid","wood","2018","2016",NULL,"11.08","0","87.5256","4.7544","0.0133693","855.287","0.50284","121","481","38","2111.75","135.723","494.523","116.58","2177.18","-0.0122436","0.683946",NULL,"0.133068","0.794258","0.433274","0.00138764","-0.0394664",NULL,NULL,NULL,NULL,"9.83737","7.66055","67.195","51.405","38B"
"0101000020E6100000A19748C35DA35BC03E08C87561F24740","166_42","henrys","533442.724044735","5304571.20440146","grid","wood","2018","2016",NULL,NULL,"0","88.6126","1.02267","0.953847","854.77","0.519954","113.325","461.045","39.535","2129.59","135.723","494.523","116.58","2177.18","0.00399408","0.67831",NULL,"0.248372","0.717368","0.347991","-0.000448496","-0.0456213",NULL,NULL,NULL,NULL,"9.83737","7.66055","67.195","51.405","38B"
"0101000020E610000001352E925BA35BC09586687161F24740","166_43","henrys","533452.724044735","5304571.20440146","grid","wood","2018","2016",NULL,NULL,"0","84.0963","0.613226","0.278919","854.696","0.470088","120.648","480.086","38.0703","2112.57","135.723","494.523","116.58","2177.18","0.000359937","0.64894",NULL,"0.248372","0.717368","0.347991","0.000759828","-0.044769",NULL,NULL,NULL,NULL,"9.83737","7.66055","67.195","51.405","38B"
"0101000020E6100000E272F92F57A35BC03A82A86861F24740","166_45","henrys","533472.724044735","5304571.20440146","grid","wood","2018","2016",NULL,NULL,"0","85.8944","0.316283","0.952443","854.688","0.510729","121","481","38","2111.75","135.723","494.523","116.58","2177.18","-0.011238","0.511864",NULL,"0.249691","0.719565","0.349338","-0.00065403","-0.0465135",NULL,NULL,NULL,NULL,"9.83737","7.66055","67.195","51.405","38B"
"0101000020E61000006213DFFE54A35BC088FF476461F24740","166_46","henrys","533482.724044735","5304571.20440146","grid","wood","2018","2016",NULL,NULL,"0","85.8944","1.78182","0.268483","854.643","0.472218","121","481","38","2111.75","135.723","494.523","116.58","2177.18","-0.0123813","0.519167",NULL,"0.204926","0.694515","0.324565","-0.00065403","-0.0465135",NULL,NULL,NULL,NULL,"9.83737","7.66055","67.195","51.405","38B"
"0101000020E61000005B00221D4CA35BC01DA853DB7BF24740","175_50","henrys","533522.724044735","5304661.20440146","grid","wood","2018","2016",NULL,NULL,"0","89.1144","5.94203","9.15109","852.363","0.1057","121","481","38","2111.75","135.723","494.523","116.58","2177.18","-0.0244669","0.607915",NULL,"0.0358824","0.722416","0.328485","0.0274217","-0.0547935",NULL,NULL,NULL,NULL,"9.83737","7.66055","67.195","51.405","38B"
"0101000020E6100000CE6805EC49A35BC0ED70F1D67BF24740","175_51","henrys","533532.724044735","5304661.20440146","grid","wood","2018","2016",NULL,NULL,"0","87.8393","5.48678","7.10143","852.789","0.0782506","121","481","38","2111.75","135.723","494.523","116.58","2177.18","-0.0163534","0.66958",NULL,"0.0358824","0.722416","0.328485","0.00636812","-0.0462397",NULL,NULL,NULL,NULL,"9.83737","7.66055","67.195","51.405","38B"
"0101000020E61000004CD2E8BA47A35BC00FE48ED27BF24740","175_52","henrys","533542.724044735","5304661.20440146","grid","wood","2018","2016",NULL,NULL,"0","88.0274","4.65873","4.10284","854.21","0.683946","121","481","38","2111.75","135.723","494.523","116.58","2177.18","-0.0158539","0.688411",NULL,"0.0717541","0.810433","0.341358","0.00360396","-0.0528036",NULL,NULL,NULL,NULL,"9.83737","7.66055","67.195","51.405","38B"
"0101000020E6100000D43CCC8945A35BC083012CCE7BF24740","175_53","henrys","533552.724044735","5304661.20440146","grid","wood","2018","2016",NULL,NULL,"0","88.5919","4.24538","1.15531","854.41","0.596936","121","481","38","2111.75","135.723","494.523","116.58","2177.18","-0.0159587","0.699227",NULL,"0.0717541","0.810433","0.341358","0.0032709","-0.0511781",NULL,NULL,NULL,NULL,"9.83737","7.66055","67.195","51.405","38B"
"0101000020E610000069A8AF5843A35BC049C9C8C97BF24740","175_54","henrys","533562.724044735","5304661.20440146","grid","wood","2018","2016",NULL,NULL,"0","88.5919","4.11715","1","854.613","0.501343","121","481","38","2111.75","135.723","494.523","116.58","2177.18","-0.0159548","0.724637",NULL,"0.128875","0.83136","0.363377","0.0032709","-0.0511781",NULL,NULL,NULL,NULL,"9.83737","7.66055","67.195","51.405","38B"
