"geometry","cell_id","field","x","y","grid","farmer","year","prev_year","yld","prev_yld","aa_n","prev_aa_n","aspect_rad","slope","elev","tpi","prec_cy_d","prec_py_d","gdd_cy_d","gdd_py_d","prec_cy_g","prec_py_g","gdd_cy_g","gdd_py_g","ndvi_cy_s","ndvi_py_s","ndvi_2py_s","ndvi_cy_l","ndvi_py_l","ndvi_2py_l","ndre_cy","ndre_py","ndre_2py","cire_cy","cire_py","cire_2py","ssm_cy","ssm_py","susm_cy","susm_py","musym"
"0101000020E61000008A7E64C334A05BC084A05278E2F34740","94_9","minnie","537125.210925068","5305899.65512763","grid","wood","2016","2015",NULL,NULL,"104.355",NULL,"4.5308","0","848.043","0.527052","79.1978","349.571","572.308","2174.11","84.9541","354.701","680.862","2122.81",NULL,NULL,NULL,"0.397914","0.604733","0.68099",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E610000045A02A9232A05BC02D5C7773E2F34740","94_10","minnie","537135.210925068","5305899.65512763","grid","wood","2016","2015",NULL,NULL,"104.355",NULL,"1.7445","0","848.038","0.532162","79.0474","347.616","572.834","2174.98","84.9541","354.701","680.862","2122.81",NULL,NULL,NULL,"0.398746","0.604675","0.673423",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E61000009519C8BF34A05BC0E4AD0B6BE5F34740","95_9","minnie","537125.210925068","5305909.65512763","grid","wood","2016","2015",NULL,NULL,"104.355",NULL,"1.03711","0","848.032","0.524244","80","360","569.5","2169.5","84.9541","354.701","680.862","2122.81",NULL,NULL,NULL,"0.397914","0.604733","0.68099",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E610000094FB8D8E32A05BC08E683066E5F34740","95_10","minnie","537135.210925068","5305909.65512763","grid","wood","2016","2015",NULL,NULL,"104.355",NULL,"1.71592","0","848.008","0.519335","79.3897","352.066","571.636","2173.01","84.9541","354.701","680.862","2122.81",NULL,NULL,NULL,"0.398746","0.604675","0.673423",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E61000008C3ED82539A05BC00D280882E2F34740","94_7","minnie","537105.210925068","5305899.65512763","grid","wood","2016","2015",NULL,NULL,"99.4756",NULL,"2.89341","0","848.043","0.541747","79.1978","349.571","572.308","2174.11","84.9541","354.701","680.862","2122.81",NULL,NULL,NULL,"0.38593","0.59616","0.691566",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000C43555F234A05BC019ABEC24BCF34740","81_9","minnie","537125.210925068","5305769.65512763","grid","wood","2016","2015",NULL,NULL,"101.078",NULL,"4.14027","0.392848","847.227","0.49041","79","347","573","2175.25","84.9541","354.701","680.862","2122.81",NULL,NULL,NULL,"0.405155","0.638133","0.719071",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000D6DFB8EE34A05BC0B0C2A517BFF34740","82_9","minnie","537125.210925068","5305779.65512763","grid","wood","2016","2015",NULL,NULL,"101.078",NULL,"4.4233","1","847.237","0.469335","79","347","573","2175.25","84.9541","354.701","680.862","2122.81",NULL,NULL,NULL,"0.405155","0.638133","0.719071",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000B49BD26632A05BC0F2BC23D405F44740","106_10","minnie","537135.210925068","5306019.65512763","grid","wood","2016","2015",NULL,NULL,"102.321",NULL,"3.62225","0","848.091","0.538688","80","360","569.5","2169.5","84.9541","354.701","680.862","2122.81",NULL,NULL,NULL,"0.392583","0.551291","0.646215",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000B74D8A0A23A05BC0BA26D4A408F44740","107_17","minnie","537205.210925068","5306029.65512763","grid","wood","2016","2015",NULL,NULL,"101.46",NULL,"1.74682","1","847.213","0.428248","80","360","569.5","2169.5","84.9541","354.701","680.862","2122.81",NULL,NULL,NULL,"0.391028","0.438686","0.622976",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
"0101000020E6100000253C4DD920A05BC0B427F69F08F44740","107_18","minnie","537215.210925068","5306029.65512763","grid","wood","2016","2015",NULL,NULL,"101.46",NULL,"1.70994","1","847.103","0.443251","80","360","569.5","2169.5","84.9541","354.701","680.862","2122.81",NULL,NULL,NULL,"0.374126","0.481426","0.490738",NULL,NULL,NULL,NULL,NULL,NULL,"8.6321","4.80717","56.6151","39.7528","38B"
