"geometry","cell_id","field","x","y","grid","farmer","year","prev_year","yld","prev_yld","aa_n","prev_aa_n","aspect_rad","slope","elev","tpi","prec_cy_d","prec_py_d","gdd_cy_d","gdd_py_d","prec_cy_g","prec_py_g","gdd_cy_g","gdd_py_g","ndvi_cy_s","ndvi_py_s","ndvi_2py_s","ndvi_cy_l","ndvi_py_l","ndvi_2py_l","ndre_cy","ndre_py","ndre_2py","cire_cy","cire_py","cire_2py","ssm_cy","ssm_py","susm_cy","susm_py","musym"
"0101000020E6100000691FB3AAF04A5BC0619F11E287044740","21_56","sec1east","641537.240883809","5099606.67697333","grid","broyles","2019","2017","86.98","66.79","128.75","57.9861","2.93867","1","1233.5","0.494106","36","375",NULL,"2037","107.442","432.405","103.9","2039.22","0.0976836","0.737155","0.198978","-0.025683","0.86723","0.264014","0.0102107","-0.00103514","-0.025159",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E61000009FE65785F04A5BC0D8E3E8B990044740","24_56","sec1east","641537.240883809","5099636.67697333","grid","broyles","2019","2017","74.59","72.77","128.47","57.9861","2.92206","1","1234.08","0.550845","36","375",NULL,"2037","107.442","432.405","103.9","2039.22","0.0925358","0.7441","0.18475","-0.0262022","0.869453","0.2653","0.0108494","0.00180082","-0.0202549",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E61000004121E478F04A5BC0EFF885AC93044740","25_56","sec1east","641537.240883809","5099646.67697333","grid","broyles","2019","2017","76.02","82.85","128.86","57.9861","2.90332","1","1234.12","0.423105","36","375",NULL,"2037","107.442","432.405","103.9","2039.22","0.0896967","0.747013","0.190097","-0.0249763","0.877837","0.264392","0.00975415","0.00299011","-0.0167057",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E6100000B2653F9EF04A5BC012B7AED48A044740","22_56","sec1east","641537.240883809","5099616.67697333","grid","broyles","2019","2017","82.79","75.23","128.85","57.9861","2.91096","1","1233.69","0.506024","36","375",NULL,"2037","107.442","432.405","103.9","2039.22","0.0932065","0.741156","0.200743","-0.0262022","0.869453","0.2653","0.0102107","-0.00103514","-0.025159",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E6100000B93AC2E8334B5BC0AB5ABA1CA8054740","118_22","sec1east","641197.240883809","5100576.67697333","grid","broyles","2019","2017","112.01","109.3","128.42","42.5063","2.42676","0","1237.38","0.496159","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.129945","0.795336","0.132668","-0.0167415","0.810373","0.225381","0.0137005","-0.00138026","-0.0400399",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E6100000BA316B24384B5BC0FFAF573FA8054740","118_20","sec1east","641177.240883809","5100576.67697333","grid","broyles","2019","2017","103.55","124.68","130","43.1428","2.49112","0","1237.49","0.497287","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.133345","0.803422","0.121404","-0.0208128","0.78621","0.217262","0.0134558","-0.000193521","-0.0393972",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E6100000DB1CE7CF334B5BC0ADD2F401AE054740","120_22","sec1east","641197.240883809","5100596.67697333","grid","broyles","2019","2017","102","89.36","128.2","42.5063","2.39594","0.0407648","1237.51","0.50005","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.0799161","0.642832","0.139377","-0.0260524","0.562436","0.202608","0.0159337","0.00472043","-0.0332133",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E6100000BAAD54DC334B5BC01A97570FAB054740","119_22","sec1east","641197.240883809","5100586.67697333","grid","broyles","2019","2017","109.78","104.61","128.39","42.5063","2.42001","0","1237.44","0.498563","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.106184","0.777821","0.13949","-0.0167415","0.810373","0.225381","0.0137005","-0.00138026","-0.0400399",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E61000000E4F3D942F4B5BC0442E56DFAD054740","120_24","sec1east","641217.240883809","5100596.67697333","grid","broyles","2019","2017","105.18","85.84","128.41","40.1348","2.30073","0.0929211","1237.42","0.514705","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.0893509","0.599717","0.132406","-0.0280716","0.514201","0.32228","0.00854016","0.00642848","-0.0401791",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E6100000FC3A995D234B5BC04C5C4FFD8F054740","110_30","sec1east","641277.240883809","5100496.67697333","grid","broyles","2019","2017","85.05","75.68","68.95","59.4759","2.0841","0","1236.62","0.493856","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.0977718","0.763297","0.175355","-0.0263036","0.882909","0.265923","0.0131631","0.00690962","-0.0298186",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E6100000AD71086A234B5BC06D34B20A8D054740","109_30","sec1east","641277.240883809","5100486.67697333","grid","broyles","2019","2017","86.08","71.15","69.62","57.0677","1.99641","0","1236.59","0.49553","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.083233","0.762613","0.17562","-0.0263036","0.882909","0.265923","0.0134868","0.0123212","-0.027099",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E61000000CC6DA87254B5BC02869031C8D054740","109_29","sec1east","641267.240883809","5100486.67697333","grid","broyles","2019","2017","79.83","71.02","69.18","57.0677","1.99377","0","1236.63","0.496646","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.0794094","0.764527","0.173569","-0.0263036","0.882909","0.265923","0.010345","0.00531711","-0.0263948",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E61000006DD3E682234B5BC017E2772587054740","107_30","sec1east","641277.240883809","5100466.67697333","grid","broyles","2019","2017","73.96","62.07","69.49","56.832","1.85661","0","1236.55","0.496459","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.0789412","0.739768","0.184372","-0.0269337","0.871453","0.258359","0.0133182","0.011257","-0.0284819",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E610000090718906524B5BC081E1C6948B054740","108_8","sec1east","641057.240883809","5100476.67697333","grid","broyles","2019","2017","95.47","64.38","126.48","52.7428","1.65897","0","1237.92","0.501016","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.0913992","0.719445","0.14674","-0.0301284","0.834913","0.251317","0.0117125","0.00520352","-0.0339081",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E6100000A1E15B24544B5BC0B42D11A68B054740","108_7","sec1east","641047.240883809","5100476.67697333","grid","broyles","2019","2017","104.07","64.94","128.56","52.7428","1.70984","0","1238.03","0.497589","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.0889149","0.708515","0.12763","-0.0294405","0.81604","0.248542","0.0122257","0.00109952","-0.0273095",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E610000062E4C530544B5BC0B3B273B388054740","107_7","sec1east","641047.240883809","5100466.67697333","grid","broyles","2019","2017","92.46","57.24","128.99","52.7327","1.68048","0","1238.02","0.492407","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.104029","0.700628","0.143813","-0.0294405","0.81604","0.248542","0.0120873","0.00407796","-0.0285738",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E610000043E32F3D544B5BC0D736D6C085054740","106_7","sec1east","641047.240883809","5100456.67697333","grid","broyles","2019","2017","76.54","58.76","128.28","53.139","1.58438","0","1238.01","0.491222","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.10306","0.700062","0.146772","-0.0296252","0.804224","0.243095","0.0120873","0.00407796","-0.0285738",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E610000059E65D1F524B5BC0B6F18BAF85054740","106_8","sec1east","641057.240883809","5100456.67697333","grid","broyles","2019","2017","71.69","56.86","127.52","43.5618","1.59797","0","1237.91","0.498018","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.0924347","0.694564","0.149219","-0.0291653","0.823847","0.2421","0.0124203","0.00717942","-0.0302166",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E6100000E4ADF312524B5BC0096A29A288054740","107_8","sec1east","641057.240883809","5100466.67697333","grid","broyles","2019","2017","93.25","65.05","126.31","40.6189","1.62328","0","1237.91","0.499524","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.0991317","0.71086","0.156042","-0.0301284","0.834913","0.251317","0.0124203","0.00717942","-0.0302166",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E6100000A9217DB94B4B5BC0B0AE486E88054740","107_11","sec1east","641087.240883809","5100466.67697333","grid","broyles","2019","2017","102.83","80.8","128.16","47.1072","1.54689","0","1237.68","0.494745","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.0671356","0.723553","0.124373","-0.030481","0.855102","0.251756","0.0115233","0.00754557","-0.0271456",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E6100000D506E8C54B4B5BC0F840AB7B85054740","106_11","sec1east","641087.240883809","5100456.67697333","grid","broyles","2019","2017","97.82","80.61","128.59","47.1072","1.48117","0","1237.69","0.497473","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.0714842","0.708641","0.139931","-0.0313337","0.837982","0.244888","0.0115233","0.00754557","-0.0271456",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E6100000B24BA7A04B4B5BC08A8783538E054740","109_11","sec1east","641087.240883809","5100486.67697333","grid","broyles","2019","2017","102.02","90.66","128.78","47.4428","1.62087","0","1237.69","0.494285","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.0865446","0.729098","0.114911","-0.030481","0.855102","0.251756","0.0116482","0.0032742","-0.0340732",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E61000009A8B4CDC4F4B5BC025B819768E054740","109_9","sec1east","641067.240883809","5100486.67697333","grid","broyles","2019","2017","95.49","55.06","128.45","47.4428","1.62188","0.363606","1237.87","0.505049","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.0901628","0.703671","0.155657","-0.0301284","0.834913","0.251317","0.0117572","0.00671012","-0.0353527",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E61000006005B7E84F4B5BC014457C838B054740","108_9","sec1east","641067.240883809","5100476.67697333","grid","broyles","2019","2017","91.9","59.48","128.83","47.4428","1.64871","0.042969","1237.86","0.500345","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.0707513","0.704765","0.149468","-0.0301284","0.834913","0.251317","0.0117572","0.00671012","-0.0353527",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E6100000884C4FD74D4B5BC008E8937F88054740","107_10","sec1east","641077.240883809","5100466.67697333","grid","broyles","2019","2017","76.25","67.57","128.34","47.1072","1.55107","0","1237.74","0.49558","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.0780311","0.698586","0.140264","-0.0301284","0.834913","0.251317","0.0126","0.00789058","-0.030352",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E610000022F8B9E34D4B5BC0C876F68C85054740","106_10","sec1east","641077.240883809","5100456.67697333","grid","broyles","2019","2017","69.82","58.97","128.71","47.1072","1.48776","0","1237.75","0.498054","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.0735714","0.692003","0.156781","-0.0291653","0.823847","0.2421","0.0126","0.00789058","-0.030352",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E61000004EED8B01504B5BC05C5C419E85054740","106_9","sec1east","641067.240883809","5100456.67697333","grid","broyles","2019","2017","82.53","61.97","128.7","47.1072","1.56625","0","1237.86","0.495956","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.0759826","0.678243","0.155777","-0.0291653","0.823847","0.2421","0.0126","0.00789058","-0.030352",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E61000008DB1D482494B5BC0E3F637428E054740","109_12","sec1east","641097.240883809","5100486.67697333","grid","broyles","2019","2017","96.56","77.5","72.65","48.1995","1.61273","0","1237.63","0.495838","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.100897","0.75293","0.119896","-0.030481","0.855102","0.251756","0.014003","0.00948593","-0.03021",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E6100000AAFAAA9B494B5BC01E25FD5C88054740","107_12","sec1east","641097.240883809","5100466.67697333","grid","broyles","2019","2017","82","68.18","72.68","48.1995","1.56057","0","1237.63","0.494282","36","372",NULL,"2032.75","107.442","432.405","103.9","2039.22","0.0976817","0.743319","0.116392","-0.030481","0.855102","0.251756","0.0165131","0.00712567","-0.029098",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E6100000DB71E040CC4A5BC074FE8A42A1044740","30_73","sec1east","641707.240883809","5099696.67697333","grid","broyles","2019","2017","68.02","64.24","195.27","90.0708","1.30348","1","1233.17","0.515709","36","375",NULL,"2037","107.442","432.405","103.9","2039.22","0.0900271","0.766717","0.167952","-0.0233142","0.845468","0.237269","0.0104163","-0.000835974","-0.0244602",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E6100000B5B6300ACA4A5BC092B76616A7044740","32_74","sec1east","641717.240883809","5099716.67697333","grid","broyles","2019","2017","86.86","75.35","127.5","88.3882","1.417","1","1233.01","0.490662","36","375",NULL,"2037","107.442","432.405","103.9","2039.22","0.0913814","0.781813","0.16164","-0.0273384","0.902344","0.244675","0.0106646","0.00269222","-0.0274114",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E61000002EA3A816CA4A5BC06EE8C923A4044740","31_74","sec1east","641717.240883809","5099706.67697333","grid","broyles","2019","2017","81.56","69.3","128.2","88.1165","1.34005","1","1233.04","0.493074","36","375",NULL,"2037","107.442","432.405","103.9","2039.22","0.0939306","0.772208","0.169339","-0.0273384","0.902344","0.244675","0.0106646","0.00269222","-0.0274114",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E6100000C48B2023CA4A5BC06C182D31A1044740","30_74","sec1east","641717.240883809","5099696.67697333","grid","broyles","2019","2017","74.41","61.5","127.56","90.0708","1.30781","1","1233.07","0.49939","36","375",NULL,"2037","107.442","432.405","103.9","2039.22","0.0884154","0.758163","0.160802","-0.0233142","0.845468","0.237269","0.0101489","-0.000864456","-0.024778",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
"0101000020E6100000CF323281D24A5BC0E28ADC5BA7044740","32_70","sec1east","641677.240883809","5099716.67697333","grid","broyles","2019","2017","63.9","81.8","128.57","116.423","1.44799","1","1233.48","0.506327","36","375",NULL,"2037","107.442","432.405","103.9","2039.22","0.0965842","0.793212","0.180569","-0.0267813","0.85531","0.253337","0.0111302","-0.000743053","-0.0143197",NULL,NULL,NULL,"12.8875","15.0517","81.8728","106.056","30"
