"geometry","cell_id","field","x","y","grid","farmer","year","prev_year","yld","prev_yld","aa_n","prev_aa_n","aspect_rad","slope","elev","tpi","prec_cy_d","prec_py_d","gdd_cy_d","gdd_py_d","prec_cy_g","prec_py_g","gdd_cy_g","gdd_py_g","ndvi_cy_s","ndvi_py_s","ndvi_2py_s","ndvi_cy_l","ndvi_py_l","ndvi_2py_l","ndre_cy","ndre_py","ndre_2py","cire_cy","cire_py","cire_2py","ssm_cy","ssm_py","susm_cy","susm_py","musym"
"0101000020E6100000EFBAC0B81B4B5BC04860F15437044740","12_117","sec1west","641340.16143609","5099328.88335425","grid","broyles","2019","2016","62.75","16.12","118.27","28.2655","2.88184","4.82188","1230.11","0.74984","36","368",NULL,"2032.5","107.442","416.747","103.9","2101.11","0.105011","0.349249",NULL,"-0.027557","0.767304","0.479348","0.0137057","0.0117002",NULL,NULL,NULL,NULL,"12.8875","10.7612","81.8728","71.0804","30"
"0101000020E610000021DB51AC1B4B5BC0D3D58E473A044740","13_117","sec1west","641340.16143609","5099338.88335425","grid","broyles","2019","2016","58.67","17.05","117.71","28.2655","2.68532","3.82223","1230.82","0.815831","36","368",NULL,"2032.5","107.442","416.747","103.9","2101.11","0.112397","0.323491",NULL,"-0.0268324","0.745411","0.474745","0.013602","0.00612494",NULL,NULL,NULL,NULL,"12.8875","10.7612","81.8728","71.0804","30"
"0101000020E6100000E96E9ED11B4B5BC09F72B66F31044740","10_117","sec1west","641340.16143609","5099308.88335425","grid","broyles","2019","2016","69.64","13.94","117.52","46.918","3.14866","4.1253","1228.38","0.32303","36","368",NULL,"2032.5","107.442","416.747","103.9","2101.11","0.10378","0.344537",NULL,"-0.027557","0.767304","0.479348","0.0138194","0.00578869",NULL,NULL,NULL,NULL,"12.8875","10.7612","81.8728","71.0804","30"
"0101000020E6100000DC962FC51B4B5BC0E2E9536234044740","11_117","sec1west","641340.16143609","5099318.88335425","grid","broyles","2019","2016","67.75","13.25","117.56","46.918","3.06042","4.75413","1229.2","0.519986","36","368",NULL,"2032.5","107.442","416.747","103.9","2101.11","0.095624","0.344175",NULL,"-0.027557","0.767304","0.479348","0.0137057","0.0117002",NULL,NULL,NULL,NULL,"12.8875","10.7612","81.8728","71.0804","30"
"0101000020E61000005F073688F64B5BC0223C98848E054740","126_11","sec1west","640280.16143609","5100468.88335425","grid","broyles","2019","2016","92.42","59.7","58.9","31.4949","3.37395","2","1243.2","0.535122","37","379",NULL,"2017.75","107.442","416.747","103.9","2101.11","0.103054","0.320953",NULL,"-0.0206652","0.687957","0.533702","0.0110548","0.00519161",NULL,NULL,NULL,NULL,"12.8875","10.7612","81.8728","71.0804","30"
"0101000020E610000032B22B63F64B5BC09CD5735C97054740","129_11","sec1west","640280.16143609","5100498.88335425","grid","broyles","2019","2016","118.14","63.18","115.05","31.4949","3.05195","1","1243.97","0.538586","37","379",NULL,"2017.75","107.442","416.747","103.9","2101.11","0.123102","0.328227",NULL,"-0.0232802","0.684014","0.500825","0.00874845","0.0266221",NULL,NULL,NULL,NULL,"12.8875","10.7612","81.8728","71.0804","30"
"0101000020E61000001B7D846FF64B5BC0FA4DD56994054740","128_11","sec1west","640280.16143609","5100488.88335425","grid","broyles","2019","2016","105.58","59.6","84.42","31.4949","3.1598","1","1243.74","0.542423","37","379",NULL,"2017.75","107.442","416.747","103.9","2101.11","0.114983","0.334843",NULL,"-0.0232802","0.684014","0.500825","0.0114336","0.0152567",NULL,NULL,NULL,NULL,"12.8875","10.7612","81.8728","71.0804","30"
"0101000020E6100000957A773F424B5BC06F47F2041E044740","3_99","sec1west","641160.16143609","5099238.88335425","grid","broyles","2019","2016","62.57","25.46","119.91","43.8296","3.8942","1.18128","1226.1","0.48333","36","368",NULL,"2032.5","107.442","416.747","103.9","2101.11","0.0886801","0.216967",NULL,"-0.0241235","0.428156","0.307513","0.0118474","-0.013723",NULL,NULL,NULL,NULL,"12.8875","10.7612","81.8728","71.0804","30"
"0101000020E6100000609E0A043E4B5BC007B759E21D044740","3_101","sec1west","641180.16143609","5099238.88335425","grid","broyles","2019","2016","53.18","12.89","116.75","43.8296","3.64567","2","1226.47","0.487063","36","368",NULL,"2032.5","107.442","416.747","103.9","2101.11","0.0862448","0.249937",NULL,"-0.0251136","0.470695","0.309936","0.0110894","-0.0200208",NULL,NULL,NULL,NULL,"12.8875","10.7612","81.8728","71.0804","30"
"0101000020E6100000CE1F5615404B5BC0D2E043E620044740","4_100","sec1west","641170.16143609","5099248.88335425","grid","broyles","2019","2016","57.19","22.38","117.67","43.8296","3.79089","2","1226.64","0.534275","36","368",NULL,"2032.5","107.442","416.747","103.9","2101.11","0.0901957","0.266296",NULL,"-0.0252257","0.505494","0.459861","0.0110119","-0.00949673",NULL,NULL,NULL,NULL,"12.8875","10.7612","81.8728","71.0804","30"
