"geometry","cell_id","field","x","y","grid","farmer","year","prev_year","yld","prev_yld","aa_n","prev_aa_n","aspect_rad","slope","elev","tpi","prec_cy_d","prec_py_d","gdd_cy_d","gdd_py_d","prec_cy_g","prec_py_g","gdd_cy_g","gdd_py_g","ndvi_cy_s","ndvi_py_s","ndvi_2py_s","ndvi_cy_l","ndvi_py_l","ndvi_2py_l","ndre_cy","ndre_py","ndre_2py","cire_cy","cire_py","cire_2py","ssm_cy","ssm_py","susm_cy","susm_py","musym"
"0101000020E6100000DBCE96BEDA4C5BC0934DDE43E9064740","106_19","sec35mid","639175.883313345","5101620.12963972","grid","broyles","2016","2014","36.14","38.09","0",NULL,"2.32844","2.94298","1288.71","0.875979","71","452","508.25","1761.25","85.8327","468.241","637.713","1774.25",NULL,NULL,NULL,"0.188515","0.526053","0.261206",NULL,NULL,NULL,NULL,NULL,NULL,"13.1625",NULL,"83.0621",NULL,"71"
"0101000020E61000002B0A5C5FD74C5BC08F988112B4064740","88_21","sec35mid","639195.883313345","5101440.12963972","grid","broyles","2016","2014","54.2","55.51","64.85",NULL,"2.8922","3","1278.92","0.502162","71","452","508.25","1761.25","85.8327","468.241","637.713","1774.25",NULL,NULL,NULL,"0.198023","0.691588","0.299203",NULL,NULL,NULL,NULL,NULL,NULL,"13.1625",NULL,"83.0621",NULL,"33"
"0101000020E610000036BE32EAD84C5BC030240F83D7064740","100_20","sec35mid","639185.883313345","5101560.12963972","grid","broyles","2016","2014","40.7",NULL,"0",NULL,"2.5308","3.46393","1285.46","0.461477","71","452","508.25","1761.25","85.8327","468.241","637.713","1774.25",NULL,NULL,NULL,"0.211248","0.646156","0.258084",NULL,NULL,NULL,NULL,NULL,NULL,"13.1625",NULL,"83.0621",NULL,"33"
"0101000020E61000004D8274F6D84C5BC08A786F90D4064740","99_20","sec35mid","639185.883313345","5101550.12963972","grid","broyles","2016","2014","41.25",NULL,"0",NULL,"2.46256","3.03993","1285.04","0.548245","71","452","508.25","1761.25","85.8327","468.241","637.713","1774.25",NULL,NULL,NULL,"0.209867","0.675146","0.311767",NULL,NULL,NULL,NULL,NULL,NULL,"13.1625",NULL,"83.0621",NULL,"33"
"0101000020E6100000539B33EEDE4C5BC000789F58EC064740","107_17","sec35mid","639155.883313345","5101630.12963972","grid","broyles","2016","2014","41.35","52.55","0",NULL,"2.50866","3.72754","1289.84","0.650282","71","452","508.25","1761.25","85.8327","468.241","637.713","1774.25",NULL,NULL,NULL,"0.191095","0.575022","0.230411",NULL,NULL,NULL,NULL,NULL,NULL,"13.1625",NULL,"83.0621",NULL,"71"
"0101000020E61000008E6044D0DC4C5BC07ADF8E47EC064740","107_18","sec35mid","639165.883313345","5101630.12963972","grid","broyles","2016","2014","37.98","48.14","0",NULL,"2.11555","3.15239","1289.57","0.798327","71","452","508.25","1761.25","85.8327","468.241","637.713","1774.25",NULL,NULL,NULL,"0.188515","0.526053","0.261206",NULL,NULL,NULL,NULL,NULL,NULL,"13.1625",NULL,"83.0621",NULL,"71"
"0101000020E610000058D5A7A0D84C5BC00718CD32E9064740","106_20","sec35mid","639185.883313345","5101620.12963972","grid","broyles","2016","2014","28.77","37.61","0",NULL,"2.12626","3.03894","1288.45","0.981626","71","452","508.25","1761.25","85.8327","468.241","637.713","1774.25",NULL,NULL,NULL,"0.188406","0.524237","0.262285",NULL,NULL,NULL,NULL,NULL,NULL,"13.1625",NULL,"83.0621",NULL,"71"
"0101000020E6100000A8E908A3EC4C5BC01597E0D7AE064740","86_11","sec35mid","639095.883313345","5101420.12963972","grid","broyles","2016","2014","60.93","59.54","107.56",NULL,"2.63393","3","1280.17","0.602675","71","452","508.25","1761.25","85.8327","468.241","637.713","1774.25",NULL,NULL,NULL,"0.181806","0.670784","0.209942",NULL,NULL,NULL,NULL,NULL,NULL,"13.1625",NULL,"83.0621",NULL,"33"
"0101000020E61000009BB47342E84C5BC0B2D6A28DB7064740","89_13","sec35mid","639115.883313345","5101450.12963972","grid","broyles","2016","2014","55.05","63.12","107.56",NULL,"2.47236","2.93976","1280.76","0.507705","71","452","508.25","1761.25","85.8327","468.241","637.713","1774.25",NULL,NULL,NULL,"0.18245","0.690318","0.211314",NULL,NULL,NULL,NULL,NULL,NULL,"13.1625",NULL,"83.0621",NULL,"33"
"0101000020E6100000C97148AFEC4C5BC0F7BF40E5AB064740","85_11","sec35mid","639095.883313345","5101410.12963972","grid","broyles","2016","2014","60.21","59.77","107.56",NULL,"2.75455","3","1279.74","0.637406","71","452","508.25","1761.25","85.8327","468.241","637.713","1774.25",NULL,NULL,NULL,"0.181806","0.670784","0.209942",NULL,NULL,NULL,NULL,NULL,NULL,"13.1625",NULL,"83.0621",NULL,"33"
"0101000020E6100000F15927EFF64C5BC0F668E3DCC0064740","92_6","sec35mid","639045.883313345","5101480.12963972","grid","broyles","2016","2014","44.66",NULL,"0",NULL,"4.22976","3.05927","1282.52","0.72485","71","452","508.25","1761.25","85.8327","468.241","637.713","1774.25",NULL,NULL,NULL,"0.174119","0.677645","0.188327",NULL,NULL,NULL,NULL,NULL,NULL,"13.1625",NULL,"83.0621",NULL,"33"
"0101000020E6100000EFA20A72EC4C5BC0F0EA5FA2BA064740","90_11","sec35mid","639095.883313345","5101460.12963972","grid","broyles","2016","2014","56.72","56.62","107.56",NULL,"2.45667","2.63149","1281.73","0.606559","71","452","508.25","1761.25","85.8327","468.241","637.713","1774.25",NULL,NULL,NULL,"0.181238","0.675117","0.214139",NULL,NULL,NULL,NULL,NULL,NULL,"13.1625",NULL,"83.0621",NULL,"33"
"0101000020E6100000B387F85EEE4C5BC05C6AED7DC6064740","94_10","sec35mid","639085.883313345","5101500.12963972","grid","broyles","2016","2014","63.86","71.93","46.18",NULL,"3.02428","3","1283.29","0.404299","71","452","508.25","1761.25","85.8327","468.241","637.713","1774.25",NULL,NULL,NULL,"0.183805","0.695175","0.234717",NULL,NULL,NULL,NULL,NULL,NULL,"13.1625",NULL,"83.0621",NULL,"33"
