field,x,y,farmer,year,prev_year,pro,prev_pro,aa_n,prev_aa_n,aspect_rad,slope,elev,tpi,prec_cy,prec_py,gdd_cy,gdd_py,veg_cy,veg_py,veg_2py
minnie,537045.210925068,5305719.65512763,wood,2018,2016,12.19,,0,53.2381,4.35088,2.60917,846.042,0.399737,118,484,38,2107.5,,,
minnie,537465.210925068,5306089.65512763,wood,2018,2016,12.3,,99.0063,107.781,5.28485,1.25674,844.807,0.663478,109.824,454.81,40.0372,2137.83,,,
minnie,537105.210925068,5305859.65512763,wood,2018,2016,11.75,,95.5176,103.731,3.99663,1,847.562,0.463958,118,484,38,2107.5,,,
minnie,537075.210925068,5306069.65512763,wood,2018,2016,10.64,12.38,98.1562,103.41,5.41374,0,848.108,0.550721,118,489,37.25,2104.75,,,
minnie,537105.210925068,5305799.65512763,wood,2018,2016,11.97,,97.5103,102.145,3.96405,1,847.279,0.568596,118,484,38,2107.5,,,
minnie,537105.210925068,5305829.65512763,wood,2018,2016,11.84,,97.5103,102.145,4.68488,1,847.286,0.456355,118,484,38,2107.5,,,
minnie,537225.210925068,5305809.65512763,wood,2018,2016,12.22,,97.06,100.558,4.70527,0.195055,847.081,0.440994,118,484,38,2107.5,,,
minnie,537225.210925068,5305839.65512763,wood,2018,2016,12.1,,97.06,100.558,2.25439,0,847.054,0.514885,118,484,38,2107.5,,,
minnie,537465.210925068,5305829.65512763,wood,2018,2016,11.02,,83.8056,46.9309,2.26418,1.05141,844.939,0.429414,118,484,38,2107.5,,,
minnie,537085.210925068,5305699.65512763,wood,2018,2016,11.92,,97.342,103.258,4.87619,1,847.395,0.612486,118,484,38,2107.5,,,
minnie,537085.210925068,5305729.65512763,wood,2018,2016,10.92,,97.342,103.258,5.40217,0.79626,847.096,0.503877,118,484,38,2107.5,,,
minnie,537085.210925068,5305879.65512763,wood,2018,2016,12.87,9.83,94.99,102.9,3.78399,1,847.775,0.551276,118,484,38,2107.5,,,
minnie,537095.210925068,5305749.65512763,wood,2018,2016,12.23,,97.5103,104.235,4.06462,0,846.966,0.405764,118,484,38,2107.5,,,
minnie,537305.210925068,5305899.65512763,wood,2018,2016,11.14,8.01,98.5614,0,1.54274,1.95089,845.303,0.464273,118,484,38,2107.5,,,
minnie,537075.210925068,5305679.65512763,wood,2018,2016,12.62,9.73,97.342,102.318,4.69674,1.23638,847.296,0.563826,118,484,38,2107.5,,,
minnie,537075.210925068,5305659.65512763,wood,2018,2016,11.88,8.85,97.342,102.318,5.03965,1,847.354,0.591711,118,484,38,2107.5,,,
minnie,537065.210925068,5305769.65512763,wood,2018,2016,12.24,,99.8034,102.318,4.28806,0.187993,846.828,0.469449,118,484,38,2107.5,,,
minnie,537065.210925068,5305839.65512763,wood,2018,2016,12.02,12.88,99.8034,103.731,2.51396,0,847.044,0.44951,118,484,38,2107.5,,,
minnie,537085.210925068,5306059.65512763,wood,2018,2016,11.01,,91.8781,103.41,3.1319,0,848.109,0.529599,118,489,37.25,2104.75,,,
minnie,537315.210925068,5305719.65512763,wood,2018,2016,10.74,10.08,98.854,2.7491,1.32812,3,845.286,0.520398,118,484,38,2107.5,,,
minnie,537465.210925068,5305899.65512763,wood,2018,2016,12.92,,83.8056,102.6,5.72333,1,846.059,0.594111,118,484,38,2107.5,,,
minnie,537305.210925068,5306009.65512763,wood,2018,2016,12.44,12.27,84.9178,41.31,1.50278,1,845.411,0.489829,118,489,37.25,2104.75,,,
minnie,537525.210925068,5306059.65512763,wood,2018,2016,11.27,,87.7859,32.2526,1.27057,2.48021,844.607,0.604709,107,443,41,2149.25,,,
minnie,537045.210925068,5305949.65512763,wood,2018,2016,12.12,,98.5467,53.514,4.08536,0,848.045,0.506084,118,489,37.25,2104.75,,,
minnie,537315.210925068,5305789.65512763,wood,2018,2016,11.32,,97.1396,21.8457,1.55682,2,844.863,0.472821,118,484,38,2107.5,,,
minnie,537165.210925068,5305819.65512763,wood,2018,2016,11.35,,97.0701,103.183,2.21591,1,847.638,0.513365,118,484,38,2107.5,,,
minnie,537165.210925068,5305849.65512763,wood,2018,2016,11.36,,97.0701,102.723,2.13703,0.759056,847.935,0.614845,118,484,38,2107.5,,,
